f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
18.984,13.084,15.388,16.187,15.989,13.199,12.259,21.113,21.113,3.029,4.139,6.188,18.59,21.402,16.2,15.586,15.727,17.006,5.986,19.589,1
15.85,18.597,18.539,17.533,13.67,12.456,12.347,17.389,18.276,4.028,6.128,5.825,15.499,18.235,16.188,12.698,13.866,16.767,4.112,16.942,1
20.648,17.038,17.509,16.5,15.762,15.114,10.731,21.432,21.953,3.037,4.8,5.517,16.96,22.476,17.399,18.303,15.804,21.206,6.853,19.575,1
23.515,13.272,16.557,10.265,8.4,16.712,14.567,26.363,18.552,7.072,9.012,9.031,17.362,24.146,17.358,19.758,17.803,27.273,11.657,17.582,0
23.597,21.455,19.942,16.294,15.69,14.548,14.709,18.709,21.107,5.054,6.832,7.091,14.989,19.884,21.847,16.469,12.807,18.712,7.815,20.29,0
14.844,18.247,18.485,11.021,9.2,9.648,11.136,14.547,16.957,6.052,9.809,9.006,12.665,14.378,21.555,11.705,10.863,14.22,9.165,12.778,0
19.344,14.911,17.23,17.758,17.767,11.36,11.92,19.378,16.435,2.012,3.87,4.304,17.744,16.827,11.115,13.802,15.859,16.452,3.001,15.435,1
20.819,18.062,17.415,11.169,10.179,14.116,14.578,19.452,17.281,8.027,8.022,10.368,10.5,21.745,20.442,15.703,12.009,18.576,14.454,13.084,0
19.26,17.606,17.356,20.305,18.979,13.622,11.07,18.456,24.1,5.039,7.268,6.711,17.374,22.94,15.623,14.591,12.874,19.999,6.902,27.23,1
20.016,16.605,19.53,13.206,10.889,14.65,11.771,19.855,24.096,5.024,5.032,6.217,8.016,22.026,15.365,14.827,13.88,20.893,4.864,21.035,1
20.311,16.234,21.066,20.335,16.848,12.687,9.816,21.179,25.25,2.022,5.477,4.751,18.193,20.807,15.027,14.655,16.804,21.558,3.003,21.109,1
21.154,16.636,16.158,19.693,18.383,11.654,11.61,19.026,19.402,4.013,4.356,5.982,19.037,17.759,13.492,12.715,14.866,17.536,4.137,20.501,1
17.187,17.945,16.733,13.083,13.477,11.576,14.552,17.519,20.256,7.02,7.158,9.497,12.707,18.24,15.558,12.832,14.877,16.614,9.493,17.699,0
22.486,18.541,21.563,19.922,16.695,17.359,10.458,25.029,26.545,5.024,5.011,7.342,16.254,28.264,18.267,20.589,18.75,23.974,6.113,23.702,1
27.799,21.067,20.39,15.9,17.015,15.279,12.281,23.514,27.257,9.05,13.662,10.995,20.836,22.259,23.844,17.599,17.943,24.357,9.579,21.949,0
21.262,21.675,18.243,17.228,13.924,14.006,13.297,19.447,27.22,4.01,6.956,7.058,15.307,20.662,18.814,14.316,14.877,19.216,5.935,22.406,1
20.727,17.788,18.583,19.341,19.047,15.282,13.086,19.993,27.098,5.025,5.162,6.726,18.459,22.744,14.28,15.584,13.875,22.521,6.079,27.684,1
20.695,17.414,19.64,16.183,11.449,11.565,13.22,19.148,20.391,7.054,8.854,9.793,12.45,19.025,20.753,13.42,12.738,15.606,10.237,14.12,0
