f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
608.986,610.074,602.966,588.029,623.794,579.297,604.925,585.618,589.713,591.636,591.983,608.002,569.152,611.578,619.941,613.417,562.885,602.774,585.517,610.671,0
530.163,540.682,534.005,518.617,545.614,518.286,526.525,512.752,513.026,513.275,527.192,535.185,486.118,531.208,556.421,532.067,498.75,524.708,512.494,539.658,0
547.146,544.949,537.879,523.579,541.654,515.499,548.681,530.745,519.608,528.69,524.535,547.151,510.903,537.188,564.594,547.835,514.614,536.012,528.476,541.522,0
651.939,646.785,639.229,638.368,663.895,622.144,658.971,632.858,629.534,634.125,638.761,649.611,611.764,652.44,672.371,648.807,616.318,640.19,620.686,653.556,0
641.746,642.088,636.906,624.61,652.301,607.992,648.403,619.713,606.492,623.296,628.682,641.218,605.134,652.669,665.169,653.897,591.602,632.897,619.204,645.027,0
500.678,521.537,517.503,482.684,527.931,500.36,518.359,517.237,495.858,500.489,505.499,523.973,479.698,514.558,533.196,513.636,485.842,501.223,498.67,513.304,1
524.747,524.496,524.029,507.634,534.127,511.953,522.437,511.039,509.719,507.297,516.292,537.191,483.402,529.289,544.096,530.74,500.505,517.599,511.627,533.33,1
577.494,578.695,571.089,553.955,583.522,556.421,575.482,563.423,555.666,564.113,569.339,582.418,534.461,577.755,603.467,586.115,548.132,575.534,558.206,576.579,0
503.3,517.219,507.926,490.022,523.041,495.581,515.263,503.318,491.943,496.028,500.353,522.628,467.839,510.259,533.572,511.677,475.801,494.541,496.029,506.912,1
515.803,523.077,526.704,510.51,531.04,501.912,525.423,506.225,506.361,506.59,512.25,528.373,481.238,520.82,541.814,532.301,498.969,519.552,500.133,529.245,0
553.11,560.515,547.6,535.263,568.976,538.905,555.714,542.441,539.215,538.221,545.908,557.143,523.933,559.076,556.418,560.874,513.754,557.553,535.778,564.311,0
595.776,613.631,597.818,583.789,615.229,575.268,606.765,588.441,577.461,589.111,584.528,601.608,568.545,602.165,623.738,603.398,567.159,588.729,575.31,601.46,0
487.083,490.654,488.472,474.464,495.284,466.915,494.439,470.116,470.52,476.378,478.949,489.524,461.824,495.606,507.35,499.616,449.271,476.776,472.737,491.89,1
485.066,488.675,494.75,469.24,497.026,474.67,490.363,476.864,467.525,471.488,478.587,495.33,447.411,487.732,511.74,498.895,461.56,480.799,472.845,487.257,0
525.186,517.872,524.403,499.582,532.857,509.559,532.361,516.302,506.888,504.933,505.112,532.144,480.006,524.032,545.627,529.972,488.047,512.857,518.71,521.94,1
597.705,612.271,607.009,583.642,621.076,581.232,602.144,597.844,588.383,585.946,603.943,618.15,544.982,595.432,633.625,600.72,584.737,599.962,593.568,607.373,0
580.222,578.056,572.944,555.413,582.174,554.798,572.829,556.683,557.964,563.353,564.449,587.45,528.905,577.315,596.476,588.909,550.514,572.873,550.221,581.406,1
588.53,582.853,576.819,571.086,584.462,557.606,585.007,563.418,555.894,565.7,574.304,591.275,532.062,570.858,614.019,589.931,564.678,570.958,569.923,584.157,0
658.809,670.864,675.286,652.72,674.962,622.396,667.55,644.939,645.164,650.002,645.318,667.91,622.564,664.103,696.078,682.768,628.036,653.277,640.151,673.053,0
466.99,483.259,476.48,465.022,487.413,462.221,479.799,461.9,452.012,456.203,466.079,475.424,442.228,472.565,484.602,476.633,435.64,468.561,451.128,480.553,0
467.336,475.439,470.414,452.175,472.391,449.497,463.93,456.396,445.595,451.11,460.506,464.764,437.818,465.906,487.089,468.703,438.538,457.524,448.331,468.012,0
508.978,520.647,514.207,501.053,523.109,502.887,516.883,511.43,501.204,496.537,505.791,526.631,479.792,515.044,541.455,515.394,481.774,506.786,501.482,516.782,1
539.625,541.836,540.461,521.499,548.842,529.046,545.822,538.077,525.899,518.355,525.555,554.842,503.668,539.515,556.085,541.828,509.465,535.164,525.497,544.553,1
535.702,539.652,541.792,528.567,550.264,520.702,538.405,522.405,520.274,520.862,532.788,539.096,496.554,536.937,564.099,541.661,522.062,536.844,519.591,546.191,1
527.026,531.612,532.901,522.684,545.661,506.13,531.819,513.139,519.159,513.573,514.676,540.394,486.322,536.314,545.42,535.107,508.158,519.825,515.143,533.042,0
591.369,590.28,604.465,575.269,609.764,580.331,606.566,592.648,574.887,573.548,581.442,619.497,540.928,602.246,618.423,607.534,561.641,592.867,588.9,609.074,1
540.767,534.498,533.476,521.657,542.25,509.265,546.81,522.178,518.679,528.795,525.111,542.813,502.754,542.305,559.889,545.469,503.234,526.622,521.778,538.647,1
551.613,560.194,560.788,527.897,564.849,533.708,560.95,552.998,541.248,545.435,545.31,568.448,522.992,559.746,574.109,565.067,529.325,552.175,541.823,563.417,1
529.542,541.294,534.525,525.855,539.526,517.866,536.671,523.755,513.294,519.279,520.907,542.575,498.961,533.549,551.681,534.413,501.237,532.756,515.464,533.212,1
522.586,521.426,528.76,505.647,532.322,515.293,538.823,527.439,511.87,506.554,520.754,543.195,484.786,530.981,548.658,528.599,498.507,514.162,524.777,533.435,1
569.032,579.311,582.466,549.372,596.039,563.181,585.141,582.052,561.196,562.454,569.596,597.078,526.988,580.142,610.766,578.848,557.657,570.665,577.454,584.738,1
604.268,623.107,612.248,599.565,624.98,595.851,609.794,598.574,594.006,581.132,597.754,621.207,574.739,618.842,629.514,620.646,574.097,610.485,593.824,617.092,0
515.655,522.668,518.026,495.207,532.246,503.914,520.883,503.703,499.244,503.232,511.474,524.079,480.791,529.154,535.7,524.221,484.048,509.903,509.544,526.598,1
589.941,584.348,585.578,570.852,596.014,553.299,593.543,557.04,576.247,572.706,574.694,586.085,551.095,591.113,599.043,602.468,548.889,586.41,567.092,598.207,1
619.308,627.591,616.151,608.71,629.967,588.347,622.795,597.751,604.581,602.187,605.086,625.901,584.45,611.831,643.217,626.682,595.765,614.024,604.686,629.246,0
514.767,519.936,512.916,503.921,525.726,496.898,519.849,498.096,504.694,502.116,503.986,520.27,482.094,522.247,530.261,524.852,488.532,520.953,499.77,521.505,1
487.668,497.642,490.873,473.93,500.471,477.396,479.159,482.224,463.431,467.324,484.509,493.991,444.63,487.764,506.977,493.756,465.026,484.347,468.414,492.352,0
520.687,525.564,523.229,500.631,530.4,507.501,524.289,507.916,503.532,510.986,515.988,533.62,476.055,520.309,543.13,534.552,496.351,519.869,509.358,529.785,0
549.969,551.372,552.245,537.588,565.662,522.895,553.049,539.882,532.504,534.912,542.51,561.484,511.7,553.783,577.518,550.98,522.082,536.913,539.795,557.811,1
608.693,604.566,611.602,579.504,614.349,587.983,616.329,592.512,588.793,591.045,594.602,623.191,566.301,606.685,617.86,623.629,562.62,605.675,593.069,614.352,0
588.753,592.955,586.184,567.973,590.907,570.456,583.743,572.08,559.908,568.96,577.3,593.0,537.886,583.166,611.727,594.63,559.689,581.299,569.722,593.375,1
546.832,547.289,549.648,517.764,558.039,529.296,550.764,538.782,521.783,531.786,540.841,557.812,509.266,554.151,560.806,555.618,509.019,537.423,532.618,554.307,1
531.659,527.431,530.3,513.418,531.628,510.475,530.967,511.533,511.098,507.966,516.222,530.865,491.484,530.158,539.045,537.371,491.273,520.374,504.211,531.091,0
476.325,489.754,482.308,462.04,499.249,473.437,491.257,481.746,468.426,467.782,474.508,498.34,449.917,487.246,509.578,483.583,459.983,476.741,473.28,486.469,1
