f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
646.208,658.393,650.483,650.567,650.747,664.554,649.035,652.304,654.148,650.253,651.717,661.897,658.973,658.898,645.747,657.317,654.252,653.675,655.896,647.63,1
691.443,704.917,702.916,699.866,692.462,710.682,698.883,698.039,696.636,691.017,695.668,701.399,708.218,703.034,694.837,699.668,702.192,700.566,700.462,699.234,0
684.282,693.724,696.924,690.21,690.804,702.929,686.322,690.444,686.764,683.219,685.671,705.213,707.048,701.281,691.11,694.622,700.729,697.621,693.134,693.798,1
689.737,691.704,691.065,690.385,687.619,705.404,694.904,696.478,694.791,689.928,693.318,701.44,706.932,696.018,688.56,700.167,695.328,698.63,697.863,695.396,0
706.81,712.277,710.535,708.556,710.39,723.349,711.308,708.094,709.166,703.193,708.428,721.384,716.656,720.15,707.676,713.113,716.513,715.882,713.751,712.771,0
614.649,618.784,618.755,621.08,616.102,636.878,624.61,621.602,621.968,619.938,619.265,622.682,626.159,623.961,618.043,625.998,627.055,622.768,619.637,617.878,1
626.346,632.762,635.297,633.252,626.084,645.167,630.164,627.592,627.388,629.496,630.14,637.35,637.85,638.965,631.599,634.65,631.936,632.814,630.369,628.739,1
496.774,501.783,500.259,495.717,495.865,513.689,503.275,501.0,497.73,499.592,500.608,504.629,505.162,503.768,498.05,503.733,505.029,502.63,502.0,501.027,0
807.325,813.866,808.784,810.893,794.772,832.03,823.711,808.246,809.335,810.942,811.223,826.26,820.786,817.553,809.166,818.943,809.045,817.186,818.509,813.048,0
646.867,659.692,656.951,652.338,647.17,664.429,649.542,649.572,649.5,650.155,650.738,656.513,660.102,660.496,646.125,652.759,651.387,652.579,655.629,646.873,0
795.385,812.18,800.485,794.163,799.61,816.168,798.761,804.105,795.936,794.46,798.472,813.053,815.822,811.409,796.925,806.212,807.575,809.449,810.693,804.87,0
554.41,561.438,558.747,561.095,556.883,571.542,559.943,561.757,556.817,555.522,559.839,568.445,567.428,565.971,559.949,566.733,563.985,563.616,560.767,559.226,1
803.664,813.892,810.977,810.058,804.065,826.622,813.231,809.146,810.352,806.777,807.53,828.201,829.247,819.182,810.03,819.456,815.87,820.692,819.882,813.012,0
620.983,634.754,627.979,631.743,622.276,643.024,634.332,631.402,626.526,624.103,627.406,641.94,643.76,634.524,627.833,640.258,631.103,636.273,639.651,631.342,0
631.508,646.953,640.89,639.226,638.022,648.565,635.787,639.358,632.505,628.984,636.348,649.785,653.185,648.051,639.849,643.558,647.362,647.801,644.998,642.923,1
608.678,616.561,612.9,607.156,609.812,622.445,608.981,609.907,608.765,611.4,612.506,619.424,619.057,616.898,609.884,615.574,614.246,614.135,615.794,611.519,0
744.936,755.783,755.519,752.87,749.781,764.005,747.702,750.837,753.531,748.57,747.706,755.245,766.095,759.448,745.626,755.624,758.085,755.227,755.988,748.864,1
736.158,747.238,741.889,739.985,738.562,758.878,739.308,740.516,745.229,742.929,734.994,752.476,747.563,750.318,739.383,747.766,746.463,743.953,743.99,739.956,1
670.756,675.788,676.733,677.355,668.03,684.298,674.64,671.666,674.336,677.934,671.885,673.709,682.687,680.521,674.701,676.247,672.566,674.279,677.938,670.905,0
690.5,694.301,690.948,692.785,693.795,704.345,698.776,691.74,690.679,687.029,694.922,702.408,701.242,699.984,689.204,699.16,696.79,692.116,698.698,692.283,0
676.567,682.771,680.432,681.497,674.943,697.515,684.091,680.811,681.62,681.276,680.65,688.031,688.363,687.405,681.012,688.215,685.597,685.94,684.786,682.365,0
750.241,768.3,760.78,758.893,756.471,776.563,761.032,764.798,757.739,754.211,758.862,767.885,770.398,766.436,756.76,766.654,765.691,766.212,765.479,759.582,1
768.601,781.651,778.14,782.29,767.888,789.23,775.001,774.552,781.224,773.235,768.863,774.003,786.037,784.555,768.587,780.012,778.2,774.079,781.441,769.698,1
742.217,762.155,755.835,753.088,748.605,756.434,742.912,750.452,750.187,736.61,745.774,758.34,766.124,761.184,750.561,755.055,757.717,760.083,754.916,754.771,1
831.834,842.825,839.772,843.281,831.086,855.201,840.514,847.037,842.994,831.24,826.338,849.294,859.157,851.953,838.504,849.163,849.295,851.006,846.247,842.852,0
608.377,616.419,615.514,612.143,610.207,622.139,609.462,612.23,610.849,604.501,606.464,620.342,623.457,621.463,611.423,613.736,621.4,616.698,614.979,615.94,1
736.669,743.844,741.728,735.145,732.066,755.96,739.971,738.172,740.762,746.044,737.818,743.6,746.52,745.972,737.99,745.269,745.061,743.441,742.535,739.704,1
622.02,627.365,626.132,625.397,623.386,637.979,629.59,626.552,628.454,621.909,625.865,637.148,633.9,631.591,623.195,633.15,629.105,629.45,628.057,625.662,1
793.342,809.9,803.397,803.51,796.752,822.942,807.431,805.469,806.907,800.476,800.874,810.543,814.369,809.932,796.001,809.674,808.056,809.507,807.455,803.076,0
635.788,648.459,643.261,637.844,638.315,652.958,640.828,642.436,635.702,639.192,641.461,650.089,650.399,651.741,640.474,644.62,644.075,648.246,646.084,646.058,1
588.448,594.668,590.873,590.374,589.618,604.368,594.915,591.105,588.073,590.667,590.345,602.11,599.872,596.828,589.045,594.973,594.357,595.585,596.709,591.654,0
626.646,630.578,630.327,627.275,626.365,642.861,632.096,632.716,626.879,626.95,627.44,637.917,643.41,637.779,628.199,635.897,636.841,636.028,635.967,632.923,0
556.133,564.839,562.47,567.313,554.079,569.456,560.241,560.836,559.336,558.376,557.047,563.4,566.401,569.083,561.28,564.786,562.369,561.251,562.224,559.122,1
593.3,603.388,595.279,595.077,595.992,612.36,602.663,597.373,602.178,597.456,596.535,611.405,602.425,601.867,593.486,605.125,600.735,600.367,601.835,597.602,1
734.363,745.416,738.262,740.94,734.342,754.456,740.036,740.139,739.652,735.206,732.485,743.886,751.144,752.382,737.515,743.889,746.809,743.517,749.47,740.96,0
744.379,756.711,751.692,748.232,751.394,763.958,745.495,752.541,748.032,742.532,744.657,765.82,764.767,760.531,747.856,756.454,760.066,756.923,752.323,751.666,1
669.282,682.321,676.97,672.211,670.893,689.264,669.212,670.924,671.869,682.822,676.165,675.75,679.29,681.952,668.028,675.477,674.692,671.959,679.594,666.226,1
761.357,775.967,769.347,772.239,768.506,786.495,770.816,774.155,767.909,764.973,772.151,774.484,776.414,775.294,768.021,777.566,776.375,773.014,769.987,767.302,1
574.571,581.582,579.49,580.232,576.442,596.224,583.124,581.425,581.128,580.83,581.305,585.344,582.5,584.25,578.878,586.764,584.313,581.573,579.128,577.895,1
504.73,510.612,510.034,509.307,504.765,522.247,513.217,511.25,509.183,510.716,512.135,516.26,514.748,513.519,510.27,517.157,511.308,515.287,512.852,511.427,1
712.737,714.789,716.278,715.515,710.258,734.835,722.31,716.469,720.352,716.272,713.293,725.841,724.943,720.95,709.112,722.317,716.49,714.615,719.631,713.291,1
912.546,923.446,920.536,922.043,921.09,940.139,924.683,922.997,919.851,908.953,921.834,934.679,935.433,927.116,916.697,930.465,929.685,924.906,921.024,918.634,0
683.765,694.003,689.721,687.43,689.128,700.884,686.573,688.929,685.495,679.021,688.885,694.425,698.98,694.832,683.137,690.093,694.418,688.42,689.668,684.394,0
748.888,760.268,761.155,757.128,754.072,769.967,751.522,754.71,756.225,756.122,753.546,759.751,768.156,766.868,749.868,761.519,758.001,757.291,761.475,751.365,0
535.22,543.161,541.989,543.791,535.022,552.85,546.442,539.799,544.382,535.561,535.041,548.627,549.001,544.465,538.288,545.79,543.456,542.911,545.268,541.416,0
654.814,663.708,660.673,659.965,654.208,676.952,662.668,659.27,658.564,658.359,658.81,664.649,669.076,663.979,658.453,664.024,665.532,662.751,662.762,660.2,0
515.941,525.592,520.752,520.944,515.887,530.262,520.06,520.529,516.484,516.391,520.37,525.37,524.687,526.636,518.484,522.49,522.832,522.01,519.739,518.731,0
706.797,722.724,717.526,707.192,708.867,720.812,703.237,710.121,704.376,706.764,713.033,720.649,718.291,721.477,711.942,713.684,712.88,717.59,712.422,714.243,1
776.092,779.788,780.485,784.285,771.69,801.086,788.808,781.081,784.287,783.962,780.343,789.483,785.331,786.985,779.351,789.739,783.018,783.459,782.038,779.761,0
773.156,779.527,772.729,781.955,771.411,791.77,772.929,775.088,778.393,781.067,781.489,780.268,779.063,782.205,778.546,786.638,781.041,777.6,772.47,771.677,0
699.568,710.34,699.515,699.58,696.448,715.019,698.256,704.086,699.016,698.904,695.739,707.256,708.199,711.182,697.201,705.142,704.56,701.948,703.899,700.291,0
817.54,831.449,825.284,818.422,822.671,844.887,822.608,823.483,825.478,830.53,827.849,834.234,829.895,831.854,819.061,831.711,827.609,826.93,827.259,819.655,1
824.275,834.993,830.215,828.933,823.253,843.751,827.047,826.924,830.093,825.315,824.776,835.218,835.266,837.183,823.516,832.66,830.818,825.969,829.122,823.547,1
762.995,779.133,771.974,765.02,768.889,779.154,764.621,771.78,766.193,759.561,771.107,784.225,784.774,779.411,771.239,777.388,778.034,783.782,772.821,776.714,0
821.69,837.901,832.883,828.239,824.368,843.931,830.492,836.223,823.722,818.712,829.098,845.737,848.654,840.307,828.714,838.841,834.829,842.62,836.921,835.267,0
685.307,692.348,699.62,687.526,688.596,699.63,687.523,690.146,685.214,679.958,688.778,701.751,710.108,699.943,693.106,694.341,699.663,701.11,693.248,697.981,1
686.714,692.789,690.069,696.391,689.707,703.706,692.439,689.741,698.184,687.596,689.054,697.861,701.982,697.336,685.566,699.35,695.723,691.46,694.968,685.178,1
794.537,796.879,792.846,799.808,783.269,812.641,802.679,795.025,799.839,797.062,796.489,801.322,803.476,802.366,793.302,808.334,796.564,797.064,794.64,794.16,0
695.601,709.156,701.457,699.626,700.593,710.673,696.168,703.669,697.75,695.735,697.873,712.092,713.515,709.286,698.029,706.217,707.098,707.138,705.283,699.326,1
699.794,711.696,702.114,709.953,699.569,711.618,702.63,703.319,709.407,699.447,699.652,708.495,710.055,709.499,697.233,709.228,705.114,703.729,706.46,700.786,1
654.642,666.175,659.722,655.314,659.17,670.649,661.835,663.033,649.924,647.088,657.359,671.689,672.927,667.824,652.407,662.813,663.935,662.883,666.294,658.709,0
634.055,646.406,642.844,646.163,637.134,654.546,644.024,639.095,647.493,638.4,637.482,649.177,650.182,644.482,637.262,648.281,642.742,643.608,647.255,638.145,0
608.121,618.241,614.12,615.714,606.791,621.949,610.968,611.468,612.189,609.573,608.182,617.689,618.267,619.929,607.497,614.83,611.126,610.551,614.581,608.271,1
709.45,716.386,713.722,711.712,706.957,728.119,712.8,710.516,715.268,717.079,709.981,717.017,719.537,720.261,706.297,715.971,713.597,711.839,717.152,707.309,1
575.163,583.103,578.756,579.132,576.198,592.776,582.434,582.553,578.388,575.145,576.354,586.471,589.584,584.675,579.212,585.151,585.555,585.007,585.816,582.234,0
675.095,686.184,679.641,685.898,678.187,693.589,677.416,681.9,681.822,679.742,675.587,688.107,694.354,692.991,681.667,685.952,692.532,687.908,682.254,684.061,1
752.549,764.217,753.721,763.082,759.85,771.61,770.398,767.489,763.954,743.105,756.526,776.987,775.988,763.089,750.431,774.224,764.475,766.638,770.448,761.036,0
630.904,642.763,638.557,642.925,632.892,653.577,643.615,640.472,643.616,632.894,633.891,641.519,644.82,640.886,633.378,642.303,645.112,640.461,642.267,635.27,0
764.409,776.156,776.508,774.458,771.23,788.98,770.592,773.077,773.04,765.378,762.488,784.717,789.699,783.564,770.624,777.244,785.81,778.364,777.131,772.545,1
694.667,704.412,702.245,701.865,696.196,717.648,705.673,701.719,704.454,701.78,699.112,706.184,707.063,707.039,701.687,707.867,707.811,707.788,706.291,703.595,0
796.047,806.653,802.037,801.36,797.638,813.409,794.708,803.229,795.488,790.849,792.363,811.089,815.911,811.565,799.022,805.159,810.469,805.334,800.99,804.43,1
718.472,724.553,723.796,715.341,714.267,735.986,719.094,720.278,717.311,718.146,716.364,725.431,730.875,730.961,719.708,721.455,728.491,725.385,724.651,725.786,0
740.607,750.836,744.222,740.181,733.486,756.95,741.586,740.725,745.265,748.475,740.906,748.125,746.106,749.736,738.716,747.119,742.451,743.1,743.171,740.277,1
574.473,588.614,579.309,581.238,576.735,590.814,580.245,581.943,577.599,575.847,578.12,584.371,585.339,586.099,577.476,583.113,582.87,582.813,584.761,579.622,0
705.064,715.494,712.632,713.114,711.343,725.014,709.207,713.098,705.793,704.196,713.222,717.355,718.437,719.083,709.501,716.893,715.593,710.774,710.409,707.591,1
657.902,666.529,662.645,666.387,657.048,672.02,660.727,659.751,659.508,657.907,661.326,668.351,668.394,668.58,661.008,666.669,660.205,662.508,664.141,659.947,1
715.968,727.091,719.006,722.689,719.658,732.566,722.22,723.223,725.903,715.414,716.088,730.624,730.479,728.659,716.582,729.565,726.309,724.246,725.793,720.927,1
839.694,847.823,843.679,848.11,839.5,855.018,837.951,839.809,841.601,840.305,846.184,848.953,852.594,851.063,839.648,847.475,840.237,841.963,848.085,839.694,0
577.758,589.085,583.128,574.277,579.521,591.62,581.477,581.626,576.342,575.415,583.864,591.818,586.237,585.178,576.785,583.649,581.389,584.486,585.263,582.636,1
720.024,722.604,722.574,721.627,720.486,738.111,723.326,720.911,723.886,722.992,717.012,728.41,730.664,729.891,716.077,726.524,727.501,721.423,724.783,717.98,1
691.047,700.427,699.017,698.044,695.266,717.189,703.146,702.194,691.494,695.732,702.296,708.382,709.371,704.689,699.816,708.091,704.254,705.472,703.643,701.863,0
741.496,742.715,738.039,751.198,736.645,758.296,741.291,736.864,746.069,740.168,742.952,747.255,750.449,746.851,741.687,753.106,745.263,741.66,739.528,737.766,0
694.818,706.597,702.654,697.41,693.513,712.097,694.669,698.696,694.434,697.107,693.945,705.695,711.493,711.759,702.651,702.798,710.229,706.654,702.695,703.224,1
778.828,784.487,782.587,788.873,780.708,795.636,783.325,780.088,780.293,777.508,785.39,793.415,792.57,789.706,782.495,791.714,782.689,785.029,783.438,782.726,0
721.498,732.457,729.176,729.564,722.884,741.086,729.806,728.881,730.472,724.413,721.689,734.347,733.627,737.239,726.076,735.789,732.771,729.513,729.218,727.431,1
745.413,750.811,751.376,746.738,741.912,760.778,753.118,752.849,745.108,738.19,747.754,764.406,770.047,758.896,749.658,757.265,755.961,763.968,757.022,758.253,0
716.542,733.395,727.997,728.874,717.982,729.08,714.084,722.302,717.057,711.533,718.631,728.428,729.741,734.542,719.26,723.27,719.92,720.587,721.804,718.364,1
793.676,810.126,801.764,802.966,798.567,812.195,793.089,802.985,796.045,792.111,793.306,810.963,817.065,813.166,799.117,805.495,809.551,806.43,804.695,800.832,0
725.521,741.129,732.753,737.928,724.472,739.616,728.377,735.648,727.954,722.685,724.658,737.662,737.184,740.724,729.534,736.954,732.58,732.106,731.645,728.98,0
577.754,583.598,579.926,579.645,578.135,592.531,581.704,581.691,577.492,578.144,579.713,589.863,589.808,588.318,578.737,586.988,584.772,584.491,587.214,581.576,1
695.138,704.566,701.386,705.153,696.298,715.917,702.268,702.414,697.336,695.458,703.136,705.22,707.961,703.881,698.721,705.192,700.965,701.487,700.576,699.421,1
646.657,654.669,653.068,647.52,648.773,663.609,650.651,651.419,649.366,648.754,647.447,659.926,662.008,659.32,648.361,654.835,656.515,656.504,657.76,652.297,1
740.959,759.012,751.806,750.869,748.219,762.956,745.518,750.305,744.763,740.259,745.748,762.141,767.651,760.758,748.896,757.283,755.159,756.581,757.862,752.323,1
544.97,552.923,553.017,551.141,547.248,563.822,551.283,550.557,547.398,548.078,547.978,555.92,558.515,555.925,548.931,551.947,554.194,553.585,554.561,550.187,0
728.715,737.104,731.686,731.353,727.869,745.801,735.594,736.28,730.791,725.014,727.098,742.253,749.701,740.847,729.433,738.011,738.885,741.394,740.851,733.414,0
613.385,624.849,621.911,621.239,618.154,632.414,622.397,622.956,619.985,613.496,618.397,627.512,631.161,626.346,616.933,626.323,624.684,623.743,624.324,620.416,1
761.495,772.754,768.857,770.991,760.425,789.41,776.683,772.793,766.406,767.634,770.698,776.413,778.128,774.493,769.16,777.162,772.287,774.403,773.95,769.072,0
578.977,582.155,581.141,583.599,576.899,589.618,580.682,580.389,579.626,575.518,576.267,588.994,590.762,587.812,582.537,586.944,585.373,584.986,581.828,583.773,0
651.007,653.722,653.087,653.638,638.607,668.938,663.766,653.582,654.051,655.612,650.508,658.907,654.307,659.024,653.205,657.918,651.952,656.039,654.915,656.188,0
706.722,717.925,714.505,711.198,706.44,734.063,720.723,716.778,709.949,709.216,713.16,725.647,722.786,716.991,707.278,720.375,714.34,716.749,716.011,712.016,0
690.038,705.324,704.463,697.031,692.27,712.056,701.816,702.429,689.845,686.331,695.366,710.06,716.552,706.516,698.481,703.52,707.427,709.432,705.462,706.332,0
687.187,697.408,695.868,689.402,690.466,701.3,685.495,686.566,691.41,686.355,685.45,700.588,702.296,699.71,690.719,693.078,700.179,697.03,694.84,692.694,1
674.558,682.538,681.597,680.931,675.093,704.455,691.081,681.991,685.464,684.373,683.117,687.875,687.847,684.63,674.639,687.952,684.516,682.861,684.953,677.788,0
643.094,650.167,654.424,648.67,645.455,657.962,648.254,649.293,644.475,634.967,643.983,661.92,667.364,656.452,653.741,654.357,660.988,661.932,650.339,659.735,0
728.327,734.34,738.4,729.339,726.825,751.313,737.159,725.664,721.008,729.803,734.017,740.058,739.516,739.051,725.942,728.697,728.29,730.615,734.782,729.623,0
477.353,483.749,479.683,481.377,477.493,489.448,482.411,481.92,478.979,478.054,480.535,488.055,487.932,485.446,481.376,485.409,485.141,485.516,483.331,483.032,0
694.049,705.649,701.289,700.527,699.39,707.706,702.025,701.573,699.954,687.478,701.352,716.423,716.087,707.142,701.332,709.396,705.287,711.02,705.409,706.392,0
753.793,763.729,757.216,755.705,752.872,776.259,760.727,762.159,756.585,755.274,755.537,768.801,772.261,770.189,754.29,764.863,766.621,767.743,767.83,760.887,0
