f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
762.892,777.697,770.814,765.561,768.066,780.993,767.689,768.723,766.116,763.327,774.227,783.111,783.327,779.94,771.554,776.975,775.329,779.922,777.303,775.772,0
781.405,802.117,792.28,787.088,788.76,803.731,784.127,794.472,790.618,786.243,785.109,805.49,807.529,801.051,790.556,798.723,797.16,806.259,797.805,792.688,0
734.293,742.16,743.346,743.003,738.935,757.197,741.007,739.073,735.434,733.333,741.45,747.159,747.586,746.626,738.751,742.072,747.117,740.433,738.639,737.861,0
661.417,665.472,663.285,674.102,663.888,672.617,660.307,661.138,665.53,661.009,662.191,665.219,674.13,674.041,661.228,668.132,668.678,663.004,665.735,657.946,0
668.205,686.881,672.183,670.543,671.352,686.39,672.659,671.602,673.42,673.057,673.247,682.311,678.504,679.058,670.038,676.776,676.554,677.25,677.961,671.763,1
705.105,716.34,710.092,708.365,705.172,722.864,707.755,706.247,710.426,711.288,707.865,715.173,716.536,718.007,707.261,714.47,714.236,710.783,713.573,707.93,1
515.974,526.451,522.207,519.621,519.665,534.157,525.217,520.921,518.914,520.719,522.028,527.581,527.7,527.226,517.898,526.272,522.855,523.348,526.108,520.03,0
617.975,629.792,623.284,624.226,620.299,632.191,624.673,623.519,625.1,614.033,624.142,632.304,629.522,626.836,621.27,630.217,625.258,626.077,624.657,624.663,0
650.784,654.471,650.926,655.868,647.102,661.276,652.9,647.084,647.747,645.211,655.695,659.911,658.025,657.033,651.689,656.852,651.841,651.691,650.987,651.925,0
537.096,551.824,545.65,537.519,538.529,551.131,541.075,542.783,536.149,541.053,543.086,552.174,552.803,547.985,541.301,547.807,544.716,547.936,548.64,547.441,0
679.517,683.815,686.165,685.769,678.21,694.566,682.555,677.268,682.313,678.207,678.649,686.304,691.353,688.7,676.315,684.362,684.603,681.219,681.898,679.088,0
819.854,829.937,825.919,820.678,819.596,844.896,824.814,825.351,825.829,827.715,824.425,832.553,832.778,834.09,819.263,830.664,830.006,828.362,828.365,823.377,1
534.199,547.754,541.873,538.941,538.512,549.307,537.392,542.89,533.88,534.88,539.935,549.456,552.547,547.654,537.272,544.773,542.365,545.997,546.443,540.237,0
507.094,516.481,512.685,510.346,509.465,523.499,512.506,510.81,508.016,510.905,512.727,518.146,517.554,517.006,509.328,514.269,517.169,512.515,512.236,510.487,1
676.56,685.377,678.786,679.09,679.977,694.133,685.171,684.316,686.015,676.495,679.094,694.289,690.444,685.577,676.489,690.186,684.965,686.051,685.715,682.386,0
783.349,791.875,790.623,785.63,784.795,805.916,787.148,786.282,788.585,795.065,787.406,795.666,796.345,798.931,782.389,791.708,790.998,790.094,793.858,782.681,1
772.107,786.464,782.952,782.964,775.645,800.833,785.3,785.655,778.295,775.079,780.531,788.338,791.413,788.323,777.821,788.996,786.934,784.789,783.902,780.986,0
517.307,526.289,519.678,517.825,520.358,532.01,521.344,521.555,520.317,518.259,518.592,528.114,526.292,525.607,515.9,524.654,523.737,522.656,525.651,519.132,1
769.731,781.624,787.497,778.605,771.774,790.514,779.199,779.61,768.204,764.608,778.217,790.338,800.91,791.392,784.457,784.131,788.168,792.228,784.676,791.127,0
517.342,526.647,523.558,517.363,519.5,528.353,519.337,519.504,518.607,514.36,520.169,529.424,528.168,524.809,519.774,523.456,524.818,526.216,522.647,524.131,0
616.826,620.338,621.692,617.852,612.774,636.067,624.347,618.449,615.741,619.897,622.905,629.995,628.323,627.299,619.556,625.002,620.617,626.296,622.695,621.844,0
687.842,693.285,695.0,687.629,689.136,702.441,692.11,690.036,689.167,686.949,688.343,706.825,703.894,697.35,690.839,696.756,698.68,698.32,692.175,695.107,1
637.22,654.634,641.711,633.34,639.649,652.483,636.644,641.966,633.495,640.925,646.764,651.496,644.652,647.985,636.408,642.885,639.2,644.398,645.852,641.121,1
616.908,624.648,622.303,621.941,617.222,633.5,621.613,622.774,617.049,620.075,621.697,626.122,628.697,627.327,620.569,625.925,625.329,625.166,623.38,622.351,0
629.85,636.616,631.94,629.105,629.092,644.417,633.062,630.554,632.127,633.157,632.692,638.765,636.152,637.95,628.936,635.822,634.179,630.372,634.459,629.421,1
736.04,749.591,743.677,738.826,741.86,752.081,737.236,741.646,743.775,732.927,737.627,754.646,752.718,747.744,738.15,745.651,749.471,746.665,743.006,743.282,1
606.584,613.496,611.363,610.402,610.88,626.419,611.407,610.964,612.119,609.413,610.899,616.29,615.492,617.206,607.084,615.144,615.472,609.577,611.947,607.393,0
806.52,810.779,812.969,808.813,806.932,826.29,808.872,811.493,810.318,805.904,803.058,821.207,827.446,820.191,810.784,817.171,822.79,817.829,814.018,815.142,0
641.211,650.379,645.034,646.298,642.804,661.689,648.524,648.031,649.082,646.194,645.002,653.856,654.102,653.586,640.963,653.943,648.027,647.182,652.635,642.901,1
655.863,665.309,660.719,663.029,662.253,673.877,664.507,666.019,663.411,654.858,663.552,671.401,674.333,668.057,657.895,671.652,667.064,665.714,665.647,662.117,0
724.333,736.054,729.73,733.011,732.507,741.279,730.177,731.961,728.024,723.201,733.942,741.989,741.161,738.996,728.981,740.401,733.719,733.194,734.973,729.725,0
811.803,828.675,815.918,814.613,806.81,830.115,811.16,811.107,817.098,821.467,812.161,821.446,819.087,825.553,809.997,818.999,814.293,814.34,819.038,809.677,1
818.182,828.405,828.174,820.338,821.74,837.097,819.216,822.412,819.708,813.846,819.368,837.712,839.679,832.548,824.443,828.196,833.334,830.866,824.79,828.176,1
605.915,617.516,612.978,607.219,609.971,619.502,607.162,608.731,609.159,604.332,607.702,623.603,622.085,617.313,611.712,613.81,618.154,619.046,613.327,614.942,1
602.729,607.575,604.758,602.407,594.659,619.755,610.632,601.577,602.191,609.799,608.385,611.27,608.953,609.938,603.702,607.774,601.372,605.319,608.873,604.729,0
741.818,747.209,746.166,742.762,740.856,761.322,745.748,743.614,746.031,746.525,744.431,753.582,752.348,750.736,742.533,751.676,750.319,747.556,744.579,742.814,1
709.421,716.978,711.964,712.571,702.646,726.968,710.763,718.666,713.779,707.448,694.596,712.859,723.922,722.853,707.027,715.461,717.426,712.942,718.342,714.787,1
659.968,663.697,663.405,663.626,652.493,671.657,662.912,659.524,660.835,656.376,661.143,667.098,671.369,668.932,657.329,665.947,663.164,663.201,661.483,661.117,0
559.092,564.932,562.562,561.924,559.927,573.536,562.536,563.905,560.138,561.042,563.717,570.063,570.993,568.07,562.633,568.617,566.336,567.046,562.373,562.067,0
586.87,590.809,589.045,591.009,589.184,602.345,592.162,593.288,589.505,587.193,590.927,598.867,596.792,596.471,590.26,598.265,594.127,593.508,590.001,590.039,1
507.928,511.539,512.506,511.661,507.635,523.923,514.157,511.97,512.064,508.72,509.386,516.139,516.429,514.155,508.891,515.7,515.324,511.803,510.28,509.501,0
731.626,747.551,741.787,742.175,730.277,749.21,735.582,739.23,737.601,731.01,733.093,748.709,752.449,753.805,740.756,744.579,745.377,747.44,743.386,743.235,0
749.838,751.461,746.904,752.311,751.756,765.058,757.206,751.581,753.205,745.311,752.808,764.839,761.574,755.371,746.407,762.704,757.203,753.36,751.951,750.05,0
891.103,898.207,901.645,892.964,891.674,917.518,903.255,898.319,893.793,889.251,896.787,914.055,919.818,910.709,900.912,905.496,910.921,914.998,906.979,908.428,0
577.913,583.075,582.125,579.16,577.402,592.432,583.489,579.558,578.59,577.968,578.938,590.216,592.319,585.556,580.432,585.85,584.323,586.838,585.254,585.084,0
666.186,673.188,674.77,665.747,668.388,681.971,667.706,670.565,667.251,662.073,665.738,679.812,685.307,677.802,670.948,673.928,681.198,678.281,672.573,676.702,1
686.783,698.861,692.619,688.438,690.36,700.023,686.586,690.818,687.735,684.364,686.988,701.97,701.869,699.999,689.6,696.203,697.261,697.6,694.512,693.683,1
674.114,687.332,677.255,681.226,677.186,691.455,680.378,683.368,682.353,676.928,677.457,692.248,692.323,687.766,678.847,690.654,682.958,689.548,688.597,680.788,0
715.331,728.643,719.481,717.65,720.599,733.276,719.439,721.621,720.414,712.666,714.953,732.341,732.254,727.855,716.349,726.777,726.571,728.302,728.464,722.59,0
587.644,591.582,592.124,590.568,586.558,603.246,595.657,589.333,594.181,592.395,587.771,597.988,597.584,597.348,590.867,597.476,596.425,593.937,594.554,590.002,1
604.118,611.842,609.369,606.702,605.511,626.216,614.656,612.547,609.731,609.322,610.785,616.497,615.764,613.35,607.787,617.068,614.45,614.606,612.181,611.27,1
544.264,556.332,552.316,547.237,548.277,559.43,544.754,550.336,543.197,545.192,549.489,557.706,558.535,557.718,549.544,551.522,554.521,556.259,553.271,551.612,1
586.793,594.653,592.655,593.873,585.105,601.589,593.231,588.177,590.31,585.854,589.089,597.186,597.487,597.774,590.368,595.269,592.44,593.281,592.188,590.643,0
674.022,685.814,680.385,679.088,676.641,695.514,684.728,683.931,678.029,675.499,682.032,689.864,689.122,685.389,675.013,687.244,682.171,683.885,685.501,679.499,1
586.316,602.003,590.958,587.252,584.611,602.065,585.436,590.114,584.767,591.502,594.622,598.943,593.811,599.427,587.712,591.519,589.733,592.914,595.776,589.391,0
610.227,619.345,614.704,614.173,612.886,628.625,618.022,616.646,618.781,612.447,615.958,622.417,623.202,619.44,609.315,620.892,615.657,617.505,619.441,615.168,0
675.167,681.789,681.346,682.781,678.927,693.318,681.442,682.984,681.216,673.805,681.155,688.72,692.904,687.676,675.71,689.024,683.925,683.062,681.526,679.47,0
768.274,778.185,773.774,771.006,769.822,784.186,766.502,768.02,771.253,766.828,764.295,782.625,783.173,780.875,767.848,774.011,780.312,774.226,772.619,770.408,1
535.959,543.194,540.298,540.159,536.518,551.39,542.295,539.176,543.033,541.213,539.631,545.842,545.406,547.356,540.229,547.39,543.713,543.378,544.127,540.03,0
747.643,754.623,750.875,751.188,749.439,774.698,756.366,756.597,759.397,759.915,753.419,756.963,761.338,757.521,744.974,760.235,758.709,754.233,759.188,746.951,0
643.377,659.046,650.877,649.827,647.461,661.799,648.507,652.341,647.752,642.721,646.493,660.343,659.775,658.79,647.832,654.584,653.603,656.18,655.37,651.757,1
643.301,657.017,648.835,651.579,643.52,663.904,651.153,651.528,651.223,648.176,649.509,655.402,654.872,655.148,650.959,657.706,656.473,654.043,651.281,650.501,0
824.888,841.585,833.826,830.193,831.94,847.418,829.104,830.033,832.099,826.628,830.903,843.054,839.062,841.051,827.013,836.426,835.184,833.08,835.038,828.613,1
720.306,723.375,730.597,724.918,726.112,745.93,727.004,724.233,727.04,724.533,725.751,733.974,739.867,732.584,721.628,730.574,732.583,726.117,728.659,721.835,0
587.217,595.629,590.759,594.678,587.396,600.177,594.833,591.922,594.909,585.526,588.61,600.752,598.438,596.621,587.878,598.441,591.582,593.74,595.674,592.383,0
901.641,913.894,908.52,906.09,897.967,923.808,902.678,901.734,907.099,908.13,901.202,910.304,911.797,915.928,902.805,911.347,909.704,903.351,904.911,900.671,1
802.007,816.836,812.597,804.421,807.843,825.547,806.387,808.514,806.977,800.743,805.874,820.537,820.813,821.21,806.991,810.878,821.132,818.051,814.935,812.547,0
711.303,727.063,724.684,716.175,719.378,733.662,713.291,720.089,716.343,710.346,713.188,730.662,735.086,730.509,720.013,722.151,732.379,729.448,722.62,724.354,1
712.357,729.207,715.952,717.407,718.396,732.03,724.13,723.725,717.289,709.21,718.667,732.551,731.158,728.125,713.925,727.806,723.175,726.583,730.69,721.234,0
564.518,572.896,571.033,571.396,563.608,580.965,574.213,572.617,566.679,565.364,570.268,579.381,583.585,576.222,569.453,577.302,570.318,576.197,577.889,571.959,0
763.916,780.675,773.395,773.957,768.696,787.645,772.235,772.891,777.439,768.692,766.093,779.535,782.305,781.42,767.613,779.432,777.604,776.039,778.899,769.116,1
556.769,565.707,564.925,560.902,559.415,570.602,559.443,562.078,556.087,556.403,561.365,565.609,567.215,569.218,559.38,563.687,565.688,563.416,560.435,560.523,0
783.052,798.67,791.712,784.747,783.894,805.491,786.55,785.759,788.725,796.638,791.784,792.368,795.588,796.433,782.234,792.56,788.592,789.84,796.383,783.402,1
581.151,591.993,590.269,586.786,588.951,597.932,587.971,587.483,588.556,578.606,585.966,593.96,599.338,591.592,581.951,590.65,592.972,591.361,592.789,586.233,0
596.64,605.802,602.922,605.529,598.122,611.375,602.954,601.484,602.213,596.377,599.714,606.936,606.282,606.07,598.76,605.253,602.634,601.829,603.469,599.813,1
558.043,564.903,558.444,556.803,557.244,573.068,563.104,565.165,561.591,559.431,556.144,568.808,569.505,567.179,558.075,566.335,564.051,567.037,567.358,563.951,1
835.732,844.6,843.126,842.42,830.705,858.411,844.817,840.554,844.684,841.412,839.294,844.399,846.927,848.609,840.75,850.157,844.556,845.45,841.427,843.365,0
479.109,480.741,481.132,477.086,480.656,491.254,482.504,479.05,481.325,476.923,480.4,490.645,486.76,484.247,479.671,484.417,485.375,485.304,481.143,482.281,0
585.374,593.51,590.506,590.962,592.104,602.157,596.364,590.278,595.384,582.133,588.361,603.917,597.086,595.224,588.387,596.94,595.99,593.427,594.212,590.636,0
496.498,500.945,500.413,500.615,496.958,512.342,502.003,501.332,502.758,499.147,496.967,507.42,506.35,504.087,500.408,506.538,505.853,504.086,500.709,501.005,1
709.296,721.191,715.706,715.26,708.191,724.859,712.951,709.382,715.621,714.429,713.676,720.217,718.763,721.797,711.142,717.132,712.768,713.274,716.222,709.276,1
642.133,652.984,642.841,650.656,645.652,657.175,648.358,649.919,655.085,643.048,642.307,653.376,656.521,653.229,641.79,656.921,650.495,649.332,653.536,644.766,1
782.356,794.906,787.846,778.429,776.497,802.552,781.359,780.997,781.723,794.622,787.726,790.787,786.309,793.598,779.781,786.894,784.107,784.407,787.085,781.37,1
758.341,766.921,762.89,757.528,754.803,781.223,763.024,759.602,760.889,774.322,766.49,766.635,765.077,769.614,757.909,767.714,762.784,759.913,764.658,755.104,1
700.749,708.693,704.161,698.488,693.111,720.698,706.886,697.689,700.531,710.761,703.613,704.743,707.384,710.609,700.093,704.785,704.278,699.679,707.41,699.211,1
724.336,739.908,732.789,733.757,723.322,743.956,729.308,731.611,731.487,724.771,727.223,733.631,736.984,738.12,728.333,735.05,735.739,732.708,729.719,728.822,0
569.449,575.666,571.681,574.796,570.603,582.405,573.807,572.957,575.884,566.887,569.533,578.711,582.894,576.684,569.283,576.274,575.014,573.604,575.159,572.193,1
829.869,850.138,842.553,844.915,831.923,862.281,848.484,843.596,836.253,836.526,839.767,854.014,852.088,845.608,839.693,849.561,842.101,847.905,847.282,841.702,0
765.893,777.924,773.362,773.99,766.666,785.328,771.511,772.146,775.603,770.002,766.506,777.383,777.621,780.838,767.656,778.77,775.454,773.944,774.8,769.312,1
766.889,772.761,773.498,775.861,768.523,787.801,770.458,766.627,767.749,771.269,772.656,779.968,780.651,779.542,769.452,776.414,773.724,773.04,771.472,766.451,0
724.352,729.679,735.985,728.199,724.397,740.347,728.959,729.9,725.541,719.742,727.07,741.247,750.98,738.733,734.116,734.786,741.473,742.719,733.501,738.382,0
565.219,574.882,574.081,572.156,564.248,580.982,571.612,569.004,567.829,564.788,567.689,577.592,580.692,576.904,570.077,573.219,573.528,574.051,574.188,572.698,0
508.444,514.615,510.959,509.559,507.688,518.648,510.023,510.501,507.464,509.032,510.658,516.202,514.697,516.604,512.182,514.661,514.021,513.263,510.536,513.861,1
652.998,670.374,659.23,657.467,656.339,673.335,660.877,661.679,654.796,657.741,660.415,671.175,667.391,665.674,658.547,667.909,660.706,667.64,667.461,662.413,1
630.047,633.23,633.504,632.511,629.551,642.741,632.794,626.652,627.397,629.445,633.936,637.364,637.66,637.914,632.264,635.63,633.678,630.857,630.651,631.661,0
627.202,637.919,632.018,629.521,629.57,642.132,631.525,633.648,631.603,625.788,628.043,639.339,644.228,639.269,628.976,637.446,635.033,635.117,639.983,632.567,1
777.763,789.078,781.532,783.089,773.841,797.264,785.511,781.679,786.47,785.179,781.759,788.537,784.506,790.628,779.724,791.184,784.137,784.825,785.302,781.818,1
844.6,862.002,846.794,848.788,842.274,865.865,857.605,856.162,845.397,839.633,848.395,864.842,865.455,860.074,842.659,858.954,849.091,854.239,865.321,854.334,0
801.843,818.2,810.413,810.88,804.891,821.554,803.572,811.171,808.017,801.669,801.422,817.92,824.745,823.947,808.757,815.454,817.923,820.73,817.856,811.284,0
701.371,707.29,712.633,705.372,704.068,717.961,705.882,704.135,704.557,696.187,700.951,719.632,722.006,712.698,710.182,710.497,719.79,715.985,704.757,713.145,1
690.472,703.071,699.547,699.162,690.757,710.571,697.253,697.463,698.652,696.172,691.517,701.444,704.508,707.291,694.938,703.483,701.139,700.35,700.691,695.705,1
723.464,732.03,737.292,730.155,729.927,740.714,725.55,728.866,725.675,717.828,724.529,746.196,749.366,740.7,733.702,734.207,742.968,740.014,730.291,735.886,1
525.82,532.019,533.111,533.309,528.591,541.754,535.561,532.952,530.062,523.66,529.404,539.649,539.236,537.76,529.871,535.932,534.876,534.75,532.411,532.927,0
724.818,739.01,731.683,732.905,728.926,743.34,725.825,737.501,728.035,723.954,728.496,741.433,742.818,741.659,724.284,737.996,731.396,732.837,735.719,727.949,0
537.864,546.843,542.104,543.868,539.389,550.812,542.454,543.69,540.125,535.877,540.77,551.296,552.574,546.762,539.298,545.309,544.263,546.318,546.037,542.495,1
666.078,680.601,674.195,670.376,670.858,687.936,669.316,671.381,672.103,678.402,669.842,686.906,685.165,679.58,671.74,675.787,681.882,679.528,675.147,672.481,1
695.09,706.068,704.092,697.671,696.474,712.127,700.002,700.238,695.704,696.071,698.058,712.68,713.912,708.421,698.047,705.545,703.61,708.032,705.76,702.263,0
706.584,719.095,713.977,701.15,707.288,727.161,708.156,706.929,703.256,716.303,713.768,716.208,715.397,718.803,703.317,708.435,710.849,709.941,718.234,706.998,1
781.937,790.117,794.197,789.074,784.56,811.504,799.384,792.653,790.282,785.822,788.664,800.231,802.864,794.937,786.971,798.065,796.184,796.672,793.134,791.967,0
519.191,524.625,521.074,522.724,516.216,531.425,524.092,523.239,521.586,523.83,521.308,525.708,526.304,527.208,520.105,526.059,522.423,521.808,523.809,520.545,1
578.379,579.797,579.638,578.494,580.741,590.733,581.557,584.403,581.407,576.937,579.204,587.947,593.572,587.232,578.651,590.167,585.727,584.807,585.468,582.71,0
697.343,706.748,701.949,693.625,698.205,714.822,700.503,703.833,696.987,699.793,700.725,710.329,712.662,708.739,695.436,706.593,703.227,707.959,709.091,700.979,1
