f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
16.553,17.122,16.726,15.563,18.951,17.629,17.998,17.369,15.981,17.306,17.782,17.818,16.108,16.054,17.411,16.278,17.423,16.771,16.998,16.248,0
16.443,16.72,16.118,15.908,18.455,17.433,16.948,17.103,16.043,17.061,17.509,17.288,15.218,16.282,17.233,16.528,17.312,16.43,15.942,15.877,0
12.957,13.274,13.008,12.56,14.731,14.133,13.628,13.722,12.373,13.806,13.872,14.062,12.447,12.914,13.626,13.041,13.456,13.352,12.926,12.423,1
16.897,17.177,16.923,15.691,19.391,18.482,17.433,18.033,15.805,18.305,17.935,18.292,15.971,17.02,17.77,17.009,17.551,17.416,16.866,16.271,0
16.785,17.268,16.59,16.121,19.411,18.577,17.42,17.595,15.438,17.764,17.699,18.135,16.029,17.521,17.849,16.874,17.055,17.398,16.93,16.138,1
15.587,15.729,15.445,14.968,17.556,16.406,15.915,16.154,14.887,16.445,16.448,16.504,14.608,15.424,15.89,15.375,16.123,15.433,15.47,14.562,0
18.081,18.693,17.883,17.649,20.597,20.333,19.048,19.203,17.899,18.874,19.382,19.497,16.974,18.443,19.269,18.099,19.502,18.051,17.837,17.927,1
14.939,15.539,14.883,14.401,17.091,16.746,15.693,15.589,13.788,15.709,15.875,16.034,14.268,15.12,15.905,15.097,15.139,15.349,15.166,14.226,1
15.758,16.259,15.809,15.202,17.455,17.052,16.077,16.986,15.612,16.983,16.966,17.14,14.615,15.414,16.863,15.914,16.409,15.61,15.748,15.33,1
17.714,18.156,17.957,16.948,20.827,19.144,17.97,18.772,17.024,19.128,19.105,19.116,17.164,18.121,19.017,17.88,18.113,18.482,18.263,17.241,1
18.005,18.317,18.223,16.984,20.224,19.124,18.828,18.965,17.669,18.665,18.891,19.491,17.468,17.275,18.972,17.737,18.85,17.855,17.821,17.623,0
18.702,19.218,18.356,18.084,21.355,20.716,19.614,19.89,18.501,19.796,19.923,20.123,17.692,19.078,19.871,19.032,19.915,19.011,18.463,18.236,1
14.317,14.785,14.327,13.751,16.132,15.634,15.237,15.542,13.903,15.3,15.407,15.574,13.502,14.271,15.067,14.545,15.156,14.658,14.184,13.779,0
19.04,19.799,18.748,18.683,21.804,21.289,20.107,20.368,18.864,20.037,20.416,20.487,18.06,19.427,20.315,19.18,20.097,19.029,19.099,18.784,1
13.495,13.73,13.225,13.087,15.406,14.353,13.749,14.121,12.668,13.931,14.157,14.365,12.88,13.487,14.087,13.521,13.801,13.859,13.254,12.81,0
18.302,18.834,18.081,17.799,21.071,19.81,18.958,19.339,16.948,19.5,19.223,19.476,17.601,18.896,19.27,18.741,19.001,19.0,18.457,17.46,0
14.071,14.281,14.235,13.592,15.979,15.166,14.573,14.897,13.405,14.874,14.965,15.117,13.378,14.113,14.659,14.196,14.685,14.488,14.002,13.541,1
16.114,16.21,15.983,15.714,18.23,17.771,16.613,17.116,15.42,16.997,16.951,17.152,14.951,16.248,16.719,16.264,17.047,16.318,15.479,15.422,1
19.246,19.809,19.52,18.696,21.542,20.384,19.714,21.162,19.216,20.536,20.991,20.802,17.803,19.033,20.756,20.071,19.883,19.38,19.19,18.538,0
17.311,17.778,18.183,16.728,19.656,18.534,17.982,18.788,17.597,18.536,18.927,18.77,16.105,16.852,18.493,17.698,18.104,17.258,17.566,17.111,0
14.834,15.408,14.925,14.094,16.961,15.927,15.475,15.898,13.859,16.028,16.04,15.895,14.369,14.623,15.572,14.785,15.185,15.516,15.151,14.193,1
17.91,18.162,17.901,17.235,19.932,18.945,18.209,18.651,17.532,18.659,19.661,19.122,17.014,17.347,19.382,17.495,18.544,17.885,18.204,17.161,0
19.49,20.105,18.716,19.104,21.775,21.324,20.636,20.004,17.856,20.08,20.884,20.782,18.499,19.322,20.137,18.868,19.606,19.523,19.638,18.539,0
20.43,20.904,20.502,19.321,22.811,21.952,21.212,21.347,19.578,21.637,21.796,22.027,19.469,19.731,21.48,19.878,21.466,20.572,20.465,19.715,0
16.514,16.894,16.06,16.001,18.809,17.805,17.465,17.199,15.68,16.995,17.596,17.505,15.528,16.781,17.107,16.555,17.069,16.68,16.269,15.744,1
15.358,15.841,15.135,14.656,17.061,16.598,15.904,16.349,15.197,16.195,16.327,16.842,14.784,15.044,16.324,15.271,15.979,15.545,15.22,15.04,0
19.701,20.359,19.645,19.18,22.15,21.347,20.433,21.133,19.558,20.399,21.175,21.023,18.025,19.62,20.963,20.188,20.626,19.449,19.439,19.398,1
19.167,19.676,18.971,19.023,21.599,21.147,19.814,20.645,18.775,20.033,20.243,20.504,17.804,19.346,20.383,19.431,20.437,19.251,18.59,18.97,1
13.437,13.815,13.407,12.65,15.259,14.397,13.86,14.289,12.608,14.281,14.383,14.502,12.775,13.293,14.056,13.342,13.64,13.697,13.438,12.831,1
16.415,16.617,15.933,15.732,17.943,17.144,16.421,16.661,14.867,16.726,17.441,17.394,15.689,15.629,16.692,16.05,16.29,16.65,16.48,14.881,0
18.218,18.902,18.192,17.906,20.776,20.269,19.416,19.52,17.029,19.417,19.809,19.977,17.405,18.692,19.242,18.24,18.717,18.932,18.283,17.298,1
18.652,19.242,18.561,18.027,20.994,20.258,19.303,20.436,18.609,19.765,20.078,20.39,17.427,18.914,20.029,19.377,19.596,18.943,18.397,18.142,0
17.458,18.119,17.173,16.778,19.812,19.633,18.611,18.611,16.991,18.631,18.638,18.814,16.629,17.805,18.327,17.664,18.365,17.854,17.528,16.83,1
19.763,20.302,19.54,19.208,22.19,21.412,20.314,20.992,19.512,20.636,20.891,20.792,18.268,19.67,20.782,19.986,20.898,19.259,19.364,19.524,1
12.922,13.251,12.971,12.432,14.712,13.953,13.345,13.708,12.208,13.778,13.872,14.054,12.266,12.716,13.626,12.847,13.225,13.236,13.024,12.423,1
16.939,17.413,17.21,16.25,18.832,18.084,17.256,17.927,15.989,17.807,18.149,18.602,16.376,16.318,17.802,16.952,17.193,17.519,17.248,16.737,0
16.484,16.522,16.322,15.754,18.114,17.241,16.731,16.778,14.93,17.121,17.059,17.695,15.69,15.546,16.751,15.565,16.729,16.559,16.352,15.5,0
17.533,17.74,17.037,16.999,20.05,18.719,18.186,18.379,16.773,18.128,18.472,18.493,16.458,17.781,18.032,17.627,18.281,17.731,17.127,16.534,1
16.631,16.923,16.357,15.733,18.611,18.046,17.225,17.461,16.129,17.592,17.794,17.579,15.402,16.524,17.079,16.559,17.012,16.798,16.493,15.631,1
17.588,18.169,17.06,17.027,20.115,19.715,18.584,18.709,17.407,18.211,18.927,18.827,16.453,17.962,18.857,17.737,18.703,17.643,17.31,17.446,1
18.345,18.707,18.067,18.005,20.652,19.781,18.656,19.655,17.92,19.222,19.155,19.624,17.187,18.381,19.291,18.587,19.349,18.541,17.867,18.02,1
13.756,14.224,13.936,13.355,15.492,14.886,14.104,14.681,13.186,14.617,14.929,14.925,12.765,13.506,14.645,13.691,14.037,13.641,14.059,13.372,1
17.137,17.24,16.856,16.618,19.318,18.311,17.81,18.104,16.092,17.78,18.048,18.239,15.83,17.347,17.872,17.377,17.743,17.599,16.495,16.103,1
13.714,14.286,14.042,13.406,15.425,14.958,14.296,14.77,13.185,14.498,14.81,14.966,12.968,13.51,14.621,13.687,14.14,13.636,13.926,13.558,1
17.314,17.73,17.388,16.699,19.781,18.809,17.914,18.297,16.519,18.51,18.778,18.894,16.6,17.251,17.955,17.056,18.334,17.734,17.521,16.313,0
18.572,18.81,18.661,17.118,20.584,19.588,18.568,19.582,17.154,19.356,19.717,20.293,17.541,17.716,19.341,17.976,18.563,18.501,18.586,18.041,0
17.254,17.914,16.962,16.726,19.555,18.667,18.112,18.297,16.795,18.239,18.649,18.445,16.244,17.539,18.346,17.383,17.756,17.128,17.462,16.569,1
18.003,18.575,17.415,16.926,20.179,20.247,18.967,19.001,16.823,19.042,18.65,19.235,16.604,18.094,18.48,17.997,18.498,18.361,17.556,16.878,1
15.754,16.502,16.001,15.274,18.06,17.134,16.612,16.936,14.676,16.731,16.961,17.355,15.405,15.388,16.647,15.77,16.417,16.554,15.924,15.37,0
17.353,17.672,17.04,16.791,19.661,19.138,18.052,18.683,16.788,18.396,18.106,18.556,16.241,17.6,18.016,17.503,18.659,17.533,16.839,16.701,1
16.804,17.45,16.456,16.027,19.37,18.823,17.422,17.82,15.631,17.819,17.556,18.252,16.159,17.389,17.545,16.818,17.342,17.238,16.758,15.938,1
15.438,15.878,15.626,15.073,17.514,17.247,16.226,16.345,14.691,16.422,16.402,16.694,14.645,15.738,16.267,15.666,16.197,15.72,15.504,14.678,1
21.169,21.742,20.632,20.83,23.564,23.288,21.897,22.809,21.16,22.238,22.346,22.833,19.958,21.2,22.685,21.38,22.503,21.436,20.702,21.308,1
16.466,17.165,16.401,16.051,18.642,18.335,17.632,17.777,16.663,17.554,18.368,17.842,15.177,16.496,18.044,16.703,17.629,16.376,16.596,16.408,0
16.36,16.714,16.208,15.752,18.431,17.97,17.281,17.761,15.919,17.423,17.265,17.685,15.315,16.508,17.021,16.613,17.649,16.709,15.864,15.678,1
16.814,17.119,17.01,16.341,19.14,18.196,17.363,17.749,15.788,17.986,17.913,18.178,16.182,16.822,17.79,17.063,17.804,17.69,16.984,15.979,0
19.152,19.75,19.659,18.544,22.099,20.716,19.702,20.063,17.74,20.803,20.795,20.776,18.934,19.016,20.612,19.089,19.827,20.2,20.255,18.752,1
15.438,15.706,15.317,15.073,17.505,16.63,15.852,16.345,14.691,16.206,16.266,16.506,14.45,15.458,16.09,15.519,16.197,15.72,15.19,14.678,1
12.949,13.313,13.013,12.56,14.691,13.946,13.491,13.663,12.237,13.66,13.849,13.944,12.334,12.808,13.614,13.041,13.306,13.352,13.024,12.531,0
15.311,15.675,14.97,15.096,17.341,17.004,16.157,16.221,14.734,16.156,16.348,16.573,14.683,15.565,16.375,15.07,15.769,15.826,15.032,14.526,0
16.501,16.819,16.314,15.667,18.72,17.736,17.204,17.376,16.021,17.315,17.33,17.571,15.345,16.537,16.988,16.681,17.542,16.598,16.198,15.545,0
16.936,17.406,16.824,16.697,19.256,18.311,17.728,17.771,15.726,17.763,18.353,18.499,16.276,17.126,17.792,16.896,17.293,17.708,17.167,15.833,0
16.683,17.254,16.726,16.17,18.817,17.951,17.08,18.168,16.982,17.826,18.036,18.134,15.957,16.533,18.02,17.115,17.394,17.192,16.694,16.404,0
13.495,13.73,13.225,13.087,15.406,14.353,13.749,14.121,12.668,13.931,14.157,14.365,12.88,13.487,14.087,13.521,13.801,13.859,13.254,12.81,0
17.579,17.78,17.681,16.631,19.568,18.891,17.662,18.729,17.461,18.25,19.117,18.652,16.165,17.284,18.584,17.827,17.896,17.4,17.647,17.01,0
17.515,17.892,17.202,16.564,19.643,19.206,18.328,18.555,16.275,18.75,18.866,18.932,16.645,17.652,18.212,17.194,17.674,18.043,17.515,16.473,0
15.758,16.29,15.597,15.162,17.457,17.028,16.187,16.845,15.571,16.443,17.031,17.254,14.92,15.36,16.947,15.64,16.103,15.755,15.761,15.71,1
17.677,18.129,17.257,17.085,20.149,19.707,18.442,18.65,17.462,18.43,18.762,19.005,16.466,18.026,18.772,17.693,18.942,17.739,17.348,17.244,1
12.949,13.312,12.953,12.56,14.691,13.911,13.548,13.781,12.373,13.806,13.856,14.062,12.324,12.808,13.614,13.041,13.456,13.352,12.922,12.407,0
19.946,20.513,19.922,18.967,22.331,21.46,20.464,21.398,19.032,21.442,21.094,21.436,18.883,19.85,20.583,20.276,20.792,20.368,19.818,18.719,0
16.554,16.989,16.295,15.924,18.353,17.364,16.741,17.008,15.393,17.308,17.56,17.753,16.133,15.959,17.084,15.692,16.76,16.637,16.972,15.838,0
19.016,19.762,18.799,18.744,21.752,21.313,20.113,20.286,18.761,20.057,20.45,20.333,17.84,19.448,20.441,19.265,20.222,19.424,18.844,19.058,1
18.33,18.662,18.339,17.711,20.713,19.736,19.105,19.816,17.941,19.2,19.968,19.654,16.935,18.272,19.303,18.416,18.95,18.14,18.281,17.577,0
14.221,14.866,14.671,13.784,16.274,15.408,14.956,15.406,13.846,15.305,15.475,15.745,13.865,14.078,15.261,14.272,14.79,14.689,14.514,14.055,1
14.045,14.302,14.045,13.393,16.102,15.043,14.573,14.863,13.343,14.862,15.061,15.117,13.357,13.968,14.663,14.039,14.685,14.443,14.052,13.383,1
18.085,18.36,17.777,17.001,20.506,19.05,18.555,19.343,17.253,19.218,19.52,20.0,17.916,17.445,19.111,17.877,18.566,19.497,17.805,17.257,0
20.642,21.593,20.98,20.496,23.664,22.466,21.988,22.386,19.815,22.009,22.345,22.058,19.735,20.368,21.664,20.928,21.999,21.254,20.659,19.97,0
13.499,13.756,13.521,13.041,15.387,14.372,13.853,14.269,12.747,14.202,14.474,14.572,12.702,13.433,14.249,13.559,13.727,13.936,13.537,12.875,1
18.385,18.497,17.678,17.043,20.589,20.065,18.819,19.279,17.919,18.853,19.09,19.455,17.455,18.306,19.002,18.004,18.627,18.466,18.059,17.564,0
16.787,17.265,16.543,16.34,19.033,18.478,17.621,17.818,15.556,17.823,17.792,18.141,16.085,16.832,17.454,16.876,17.258,17.435,16.644,15.828,0
17.763,18.185,17.277,17.316,20.378,19.668,18.56,18.558,17.39,18.46,18.748,18.926,16.571,18.154,18.785,17.863,19.067,18.085,17.355,17.148,1
16.626,17.121,16.395,16.52,19.043,18.415,17.553,18.088,16.326,17.503,18.206,18.064,15.921,16.865,18.088,16.798,17.237,17.288,16.523,16.161,1
16.89,17.477,16.945,16.788,19.601,18.329,17.508,18.11,16.583,17.929,18.027,18.406,15.949,17.345,18.065,17.344,17.828,17.819,16.98,16.404,1
17.877,18.32,17.943,16.903,20.315,19.546,18.653,18.943,16.642,19.393,18.909,19.139,16.929,17.901,18.739,18.002,18.542,18.561,18.014,17.033,0
14.697,15.312,15.129,14.335,16.505,16.095,15.232,15.854,14.238,15.77,15.762,16.052,13.77,14.465,15.592,14.68,15.307,14.512,15.016,14.411,1
17.931,18.522,17.577,17.209,20.436,19.609,18.726,18.985,16.495,19.118,19.127,19.23,17.14,18.048,18.656,17.962,18.112,18.392,18.054,16.953,0
14.208,14.608,14.271,13.653,16.549,15.793,14.902,15.148,13.439,15.105,15.36,15.684,13.641,14.646,15.303,14.256,14.809,14.778,14.344,13.852,1
13.495,13.755,13.574,13.087,15.406,14.747,14.052,14.336,12.926,14.45,14.403,14.524,12.88,13.54,14.093,13.521,14.053,13.859,13.353,12.864,1
15.885,16.209,15.838,15.586,18.02,17.183,16.267,16.809,15.129,16.77,16.773,16.957,14.683,15.871,16.612,15.929,16.653,16.038,15.747,15.174,1
14.869,15.253,15.073,13.926,17.111,16.116,15.421,15.923,13.908,16.206,16.13,16.074,14.298,14.527,15.718,14.808,15.25,15.639,15.137,14.358,1
19.251,19.79,19.603,18.763,22.141,20.714,20.332,20.522,18.823,20.546,20.993,21.149,18.879,18.747,20.584,18.833,20.433,20.122,19.455,18.901,0
16.793,17.153,16.173,16.471,19.23,18.627,17.565,17.9,16.358,17.425,17.597,18.052,15.974,17.269,17.828,17.091,17.989,17.593,16.065,16.202,0
18.295,18.799,18.268,18.07,20.54,19.437,18.754,19.259,17.873,19.135,19.703,19.36,16.961,18.062,19.314,18.34,18.83,17.93,18.273,17.885,1
17.024,17.63,16.845,16.217,19.36,18.392,17.622,18.013,15.509,18.212,18.065,18.141,16.184,17.083,17.743,17.258,16.908,17.545,17.144,16.044,0
14.41,14.827,14.608,13.86,16.65,15.541,14.907,15.478,13.925,15.504,15.638,15.609,13.79,14.593,15.297,14.534,14.982,15.076,14.498,13.914,1
18.828,19.214,18.696,17.986,21.242,20.442,19.482,19.792,18.568,19.577,19.957,20.351,17.764,18.529,19.948,18.567,19.802,18.599,18.678,18.486,0
17.535,18.23,17.259,17.086,20.026,19.759,18.999,18.822,17.499,18.805,19.125,19.064,16.581,17.915,18.74,17.635,18.877,17.824,17.583,17.129,1
17.052,17.557,16.782,16.389,19.309,19.139,17.634,17.698,15.512,17.867,17.755,17.966,16.165,17.215,17.761,16.975,17.113,17.324,17.266,16.043,1
15.604,15.927,15.166,14.982,17.44,16.746,15.735,16.082,14.328,16.144,16.309,16.88,14.949,15.558,16.121,15.398,15.781,15.997,15.566,14.511,0
17.451,17.947,17.517,16.945,19.824,18.832,18.423,18.31,16.191,18.544,18.653,19.057,16.791,17.611,18.233,17.096,17.933,18.013,17.566,16.631,0
16.81,17.361,16.883,16.028,19.468,18.106,17.374,18.22,16.777,18.087,18.154,18.237,16.228,17.14,17.891,17.191,17.501,17.533,17.275,16.337,0
19.264,19.636,19.123,18.398,21.64,20.653,19.56,20.09,17.683,20.558,20.103,20.398,17.989,19.069,19.928,19.23,19.813,19.853,19.171,18.144,1
18.442,19.153,18.009,17.442,20.774,20.44,19.343,19.608,17.206,19.73,19.305,19.716,17.22,18.571,19.079,18.686,18.737,18.599,18.299,17.431,1
17.012,17.609,16.852,16.475,19.557,18.552,17.73,18.088,15.732,17.907,18.31,18.468,16.158,17.213,17.68,16.958,17.349,17.769,16.841,16.109,0
17.414,17.93,17.088,16.756,19.875,18.945,18.27,18.428,15.96,18.411,18.531,18.683,16.464,17.902,18.194,17.443,17.414,17.933,17.445,16.388,0
19.546,19.861,19.322,18.679,22.088,20.993,19.495,20.013,18.507,20.501,20.402,21.114,18.646,19.34,20.345,19.098,19.647,19.632,19.814,18.755,1
17.862,18.218,17.684,17.289,19.939,19.359,18.356,19.038,17.886,18.999,19.316,19.504,16.724,17.694,19.117,17.755,18.483,17.749,17.485,17.684,0
17.447,17.821,17.566,16.625,19.659,18.565,17.939,18.556,16.334,19.059,18.563,18.73,16.672,17.426,18.077,17.32,17.764,17.738,17.649,16.447,0
