f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
19.426,19.937,19.424,18.297,22.154,21.042,20.405,20.579,18.396,20.778,20.689,20.537,18.138,19.424,20.273,19.703,20.135,19.898,19.61,18.474,1
16.277,16.822,16.114,15.443,18.532,17.666,17.186,17.438,15.931,16.896,17.314,17.93,16.01,15.909,17.501,16.365,16.778,16.642,16.201,16.179,0
18.378,18.77,18.356,17.619,20.859,19.985,19.038,19.84,18.323,19.508,19.782,20.041,16.991,18.397,19.353,18.384,19.35,18.117,18.343,18.001,1
19.507,20.339,19.985,18.74,21.965,21.247,20.096,21.291,19.624,21.144,21.375,21.628,18.962,19.037,21.23,19.326,20.52,20.108,19.753,19.658,0
17.384,17.892,17.197,16.802,19.852,18.927,18.264,18.313,16.456,18.509,18.602,18.794,16.601,17.32,17.867,17.374,17.771,17.55,17.392,16.232,0
18.597,18.872,18.095,17.681,21.066,19.87,18.768,19.384,17.154,19.455,19.588,20.068,17.712,18.52,19.264,18.624,19.106,19.255,18.465,17.434,0
15.181,15.752,15.83,14.6,17.254,16.557,15.768,16.56,14.751,16.469,16.508,16.738,14.486,14.902,16.182,15.151,15.92,15.457,15.531,14.924,0
17.412,17.758,17.346,16.491,20.179,18.976,17.751,18.379,16.46,18.722,18.133,18.8,16.832,17.943,18.283,17.756,18.007,18.017,17.543,16.486,1
15.894,16.227,15.78,15.343,17.807,17.129,16.431,17.077,15.325,16.917,16.824,16.907,14.811,15.752,16.523,16.006,16.764,15.84,15.591,15.364,1
17.654,17.886,17.126,16.589,19.772,19.101,18.124,18.328,17.018,18.375,18.741,18.511,16.631,17.895,18.272,17.513,17.913,17.79,17.152,16.85,1
18.1,18.477,17.911,17.025,20.611,19.866,18.884,19.34,16.763,19.198,19.428,19.489,16.963,18.142,18.685,18.051,18.035,18.79,17.868,17.03,0
15.4,15.764,15.204,14.694,17.412,16.83,16.114,16.62,14.949,16.42,16.134,16.63,14.621,15.493,15.989,15.607,16.42,15.723,15.057,14.662,0
16.857,17.593,16.664,16.223,19.059,18.278,17.394,18.094,15.806,17.893,17.866,18.305,15.927,17.292,17.416,16.819,17.26,16.87,16.736,15.865,0
18.56,18.881,18.017,17.42,20.514,19.474,18.926,19.337,18.292,19.301,19.201,20.72,18.234,17.904,19.5,18.144,19.413,19.213,18.041,17.895,0
19.162,19.899,19.251,18.499,21.911,21.335,20.261,20.136,17.642,20.387,20.587,21.027,18.556,19.717,20.47,18.944,19.755,19.914,19.722,18.567,0
17.058,17.469,17.391,16.212,19.37,18.437,17.75,17.728,16.677,17.886,18.463,18.192,16.506,16.937,17.919,16.906,17.676,17.549,17.137,16.525,0
18.397,19.043,18.029,18.03,20.82,19.934,18.859,19.412,17.539,19.302,19.25,19.636,17.978,18.396,19.129,18.05,18.734,18.615,18.716,17.579,1
16.525,16.772,16.485,16.049,18.941,18.002,17.116,17.6,15.734,17.161,17.563,17.669,15.802,16.644,17.341,16.51,17.491,17.067,16.511,16.013,1
15.927,16.306,16.099,15.522,18.309,17.981,16.67,16.831,15.201,16.889,16.899,17.385,15.193,16.394,16.819,16.389,16.567,16.486,16.013,15.311,1
16.827,17.19,16.392,15.889,18.648,17.988,16.939,17.763,16.848,17.611,17.853,18.626,15.893,16.395,18.061,16.812,17.298,16.974,16.57,16.377,0
18.162,18.66,18.089,17.623,20.395,19.975,18.924,19.269,18.023,19.227,19.563,19.497,16.533,18.149,19.283,18.195,19.443,17.907,17.996,17.776,1
18.665,19.22,18.405,18.29,20.968,20.497,19.515,20.313,18.468,19.669,20.106,20.048,17.159,18.729,19.948,19.172,19.795,18.894,18.204,18.318,1
20.356,20.979,20.787,19.771,22.815,21.722,20.992,21.052,18.314,21.478,21.522,22.04,19.855,19.843,21.582,20.358,20.826,21.029,21.133,19.711,0
18.732,19.316,18.398,18.143,21.229,20.53,19.476,19.915,18.521,19.429,19.782,19.879,17.58,18.868,19.798,19.004,19.844,18.584,18.337,18.465,1
16.43,16.825,17.26,15.849,18.43,17.747,16.791,17.522,16.493,17.498,17.9,17.712,15.394,16.017,17.456,16.584,17.13,16.547,16.713,16.168,0
