f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
565.362,575.858,571.024,561.235,578.306,543.833,570.338,555.697,535.907,560.245,566.307,574.391,533.386,568.889,592.563,579.33,533.474,558.425,550.57,576.809,0
548.058,548.044,552.062,530.162,554.436,530.128,552.439,534.215,532.057,531.721,537.845,554.1,512.066,552.542,566.912,559.287,520.568,541.322,532.395,554.864,0
530.582,541.695,529.126,527.495,544.57,503.774,534.891,508.994,514.206,517.724,516.492,535.739,502.477,536.567,550.459,535.166,505.79,536.291,516.22,536.524,0
613.521,616.721,625.582,596.205,638.789,598.126,617.389,609.98,594.096,608.32,614.781,634.008,564.814,616.001,648.798,629.673,594.818,608.618,598.899,628.828,0
553.373,562.202,566.998,538.169,572.13,543.025,571.453,554.361,534.889,542.383,547.117,562.606,521.723,561.089,588.212,563.828,518.883,550.63,543.132,562.585,0
569.512,573.737,581.768,552.133,592.524,556.645,576.096,565.5,557.457,555.331,568.784,583.096,520.434,569.539,600.369,578.866,549.473,567.483,557.932,582.611,0
505.951,511.12,509.691,482.259,518.154,489.275,507.361,497.855,496.216,494.914,494.439,517.508,473.72,512.995,524.028,518.545,481.765,498.912,496.305,510.119,1
454.786,470.572,462.086,444.706,474.046,443.483,464.419,452.851,441.358,446.245,450.544,470.63,426.834,476.085,483.204,469.621,436.303,455.219,444.947,465.147,0
572.23,587.096,578.12,565.321,587.123,556.618,586.442,567.089,548.47,564.398,573.406,588.483,537.085,577.02,599.033,578.075,538.155,571.897,555.89,582.785,1
533.206,539.641,535.319,519.458,550.796,514.135,541.389,527.319,517.04,523.383,529.793,552.244,495.142,536.111,561.212,542.327,518.816,532.886,525.737,548.782,1
621.337,620.51,615.201,603.742,618.835,598.183,632.382,608.276,609.071,609.775,607.443,627.414,588.246,625.237,633.543,629.278,585.224,608.338,592.97,618.742,0
509.838,516.204,516.164,495.792,524.566,496.682,518.132,507.076,497.418,496.04,502.767,532.892,467.484,513.818,540.157,526.815,493.463,512.749,509.247,520.084,0
566.832,576.84,580.659,556.179,591.353,562.169,580.758,563.828,564.41,560.355,576.993,587.396,528.488,580.246,597.722,585.234,546.333,569.945,560.242,586.928,0
572.085,583.114,568.577,556.739,578.879,541.644,571.76,552.584,558.49,554.484,556.892,574.908,543.048,573.069,584.665,585.971,544.258,575.419,553.046,581.347,1
615.35,620.495,621.965,605.453,640.423,585.43,625.471,593.118,608.757,606.831,615.515,625.596,577.068,623.466,633.128,624.227,589.302,617.093,599.169,635.722,0
497.039,507.387,516.347,498.426,516.797,490.089,523.103,499.082,492.296,501.166,496.227,514.355,488.51,509.378,540.644,513.869,481.476,512.996,497.641,516.154,1
612.682,613.707,627.719,600.503,629.014,594.176,616.045,610.417,587.396,592.314,600.599,629.129,564.709,614.163,638.278,620.039,585.043,607.958,595.52,619.041,0
546.181,552.147,547.021,527.242,555.503,534.185,551.126,538.759,530.526,537.01,544.557,559.862,509.958,558.507,561.633,558.873,515.508,549.872,538.235,558.225,1
500.313,510.944,513.524,497.835,517.483,486.575,515.166,490.329,497.061,488.88,501.71,511.265,469.444,508.455,526.13,509.632,482.938,498.835,486.039,513.715,1
546.236,541.093,547.057,519.603,555.5,531.245,549.312,540.21,533.441,531.487,537.181,556.965,500.576,544.557,564.453,558.312,521.121,542.55,531.921,549.381,1
524.755,532.614,527.262,510.642,544.312,511.875,530.601,516.357,507.671,512.738,522.03,528.253,485.129,526.277,546.807,523.353,493.851,518.16,504.144,531.785,0
586.298,582.726,591.675,567.09,595.506,573.338,595.435,580.121,559.163,570.138,575.836,603.907,540.386,586.261,613.037,592.369,559.468,578.882,578.603,594.846,0
533.276,551.443,541.132,518.288,554.87,528.391,547.977,532.813,513.095,527.486,538.586,557.932,509.557,556.59,565.413,546.277,505.465,526.594,525.377,546.82,0
536.619,547.124,543.24,527.313,547.807,519.404,544.856,534.682,525.683,525.911,529.266,555.878,504.392,538.635,565.887,550.309,514.586,533.216,524.105,542.888,0
615.015,619.369,616.24,600.243,625.34,587.414,615.752,601.119,603.41,595.339,604.323,614.784,568.334,608.826,645.232,623.795,588.549,602.816,598.187,620.285,1
605.67,612.685,618.572,585.292,629.527,588.683,620.056,596.364,601.025,599.122,596.917,614.972,570.676,616.461,624.014,614.159,571.778,603.627,595.574,614.893,0
636.417,639.05,641.519,613.113,659.289,624.478,644.333,644.491,618.709,620.718,625.014,668.863,590.083,648.484,663.438,646.828,611.423,631.767,632.134,652.949,1
639.125,643.686,631.26,620.021,640.151,619.582,633.361,616.837,618.253,610.638,620.292,645.0,582.674,632.318,663.32,646.553,597.069,637.413,613.792,635.413,1
498.799,509.223,504.335,486.462,505.792,491.137,513.833,497.817,498.986,495.116,494.327,516.347,479.743,507.969,516.663,518.133,475.044,503.957,483.574,505.536,0
616.473,609.799,619.129,591.524,621.995,596.694,623.915,596.23,603.969,592.435,597.148,626.064,572.843,622.755,626.558,629.787,568.286,606.365,592.703,611.208,0
621.429,626.003,621.826,612.874,634.52,612.31,633.007,622.526,596.357,605.582,611.057,643.242,580.376,626.889,650.358,631.949,593.634,616.274,601.177,630.039,0
481.143,490.543,488.88,471.629,490.899,468.33,486.58,473.909,469.456,473.758,473.516,487.578,450.903,477.902,507.645,490.66,462.456,482.688,466.119,484.856,0
505.735,516.706,511.722,500.878,521.47,491.461,524.448,502.5,497.969,503.991,502.158,516.712,486.224,516.578,527.516,520.829,480.839,509.224,490.773,513.03,0
535.529,533.361,530.891,516.459,537.272,512.848,539.703,522.667,517.569,520.695,524.616,538.57,497.872,532.644,554.598,541.485,504.883,528.255,516.724,535.211,1
562.579,577.042,572.697,561.286,574.952,542.571,576.993,564.207,549.917,553.542,560.09,585.799,528.644,563.155,600.163,581.699,546.324,569.572,559.385,577.857,0
511.891,518.34,515.043,499.075,526.272,495.871,523.31,509.675,505.044,503.779,508.635,526.993,484.308,517.723,531.242,521.78,484.273,507.448,502.043,515.207,1
607.15,610.492,610.28,597.821,611.201,583.009,619.031,583.381,599.539,587.332,604.058,606.454,569.567,610.013,621.377,622.912,569.199,604.235,579.123,616.776,1
544.473,543.176,538.954,517.937,544.395,528.335,545.673,525.582,520.835,526.179,527.707,542.492,511.136,545.02,555.032,544.976,501.154,528.992,522.023,537.985,1
591.032,592.046,594.189,570.194,598.702,579.184,593.774,583.873,564.132,571.014,582.255,613.931,542.481,595.287,612.078,603.341,557.068,591.796,584.277,599.828,1
570.66,583.982,573.642,551.257,585.077,545.308,577.915,550.89,548.968,553.006,560.28,573.324,529.511,574.122,582.623,575.394,527.744,568.111,545.276,574.222,1
590.295,590.092,585.209,568.683,599.689,579.752,598.022,585.243,571.273,569.582,580.849,605.489,546.215,590.251,618.722,589.524,566.505,584.926,576.533,596.87,1
582.107,585.059,578.879,557.251,588.421,563.555,590.22,569.438,561.506,562.416,569.64,585.677,551.829,582.94,603.381,589.543,541.351,572.315,563.891,579.924,1
648.054,655.978,653.351,631.415,665.626,629.907,662.383,637.204,630.466,634.532,644.615,656.917,606.703,660.109,683.078,661.923,611.317,640.278,640.733,661.535,1
433.192,436.696,437.647,424.481,444.642,414.115,440.926,426.263,415.645,426.307,421.576,443.556,407.584,435.791,454.179,449.481,411.383,430.202,413.897,442.71,0
539.039,538.008,546.31,521.308,558.838,537.003,549.335,546.782,525.074,524.727,536.683,564.983,491.384,549.057,570.081,544.893,527.457,541.55,537.63,552.004,1
585.26,584.46,594.366,568.004,589.71,567.368,605.101,575.924,584.24,571.788,570.838,593.729,553.939,592.858,612.131,595.217,557.463,580.734,571.519,580.658,1
530.902,532.263,531.486,515.35,537.664,506.236,534.66,518.576,515.896,518.435,517.406,539.111,497.404,536.248,547.148,537.52,498.007,524.346,509.628,535.109,1
583.031,582.805,582.621,564.616,589.05,559.032,592.112,577.601,563.377,569.976,572.498,592.083,540.368,581.19,613.467,590.564,563.673,577.863,571.771,591.735,1
626.554,631.52,634.567,607.31,638.984,611.088,630.246,620.037,609.824,613.319,622.92,645.831,577.904,634.405,650.988,645.382,599.172,629.082,611.817,637.886,1
556.508,557.541,563.588,539.922,560.096,533.318,565.712,547.697,542.497,547.4,546.238,568.499,519.474,556.632,585.161,570.879,542.229,548.289,544.409,564.1,1
503.426,526.159,517.587,499.184,519.901,504.149,523.52,514.469,491.647,504.32,506.447,531.509,481.93,519.704,531.704,518.151,483.312,512.182,496.101,520.128,1
529.143,532.206,527.463,519.32,533.082,512.186,527.493,512.217,505.714,511.386,521.025,529.094,492.731,528.993,547.162,533.432,492.228,520.71,505.672,528.938,0
612.255,626.346,610.141,592.862,632.8,586.684,623.124,600.129,596.42,596.566,598.123,615.394,578.164,613.146,634.726,629.007,573.451,603.085,596.744,619.382,0
582.351,587.58,590.623,568.276,601.104,561.997,584.779,569.865,564.998,568.561,572.503,598.022,538.092,589.817,605.421,593.289,555.256,572.556,570.55,595.683,1
498.501,495.638,499.478,481.824,502.959,476.992,501.687,480.826,487.833,484.041,488.718,503.324,462.069,498.515,507.3,504.276,474.934,497.795,480.769,500.235,1
668.559,656.195,657.065,638.805,664.879,641.019,667.194,649.802,641.512,638.333,653.973,674.07,612.765,653.414,688.449,670.289,638.553,646.119,641.523,664.502,1
562.453,576.621,574.51,550.898,574.211,548.027,576.511,557.002,545.256,555.62,559.401,576.448,537.094,570.816,589.897,576.919,532.076,561.41,549.23,570.334,1
554.556,568.234,558.165,543.158,568.84,540.587,558.108,546.021,541.86,543.901,544.938,564.382,529.318,569.027,569.573,567.645,517.686,553.977,537.666,561.886,0
643.793,637.806,648.341,615.04,652.175,635.484,649.45,630.338,627.353,626.264,635.798,654.079,586.543,641.137,662.168,654.067,625.832,641.154,621.383,642.549,0
586.616,588.39,584.343,566.949,594.17,570.616,592.982,581.586,561.459,572.727,576.753,600.238,542.944,584.12,608.522,590.919,550.417,575.83,566.638,589.788,1
586.344,597.677,593.361,579.558,601.352,573.304,600.277,579.189,572.368,576.785,579.457,598.272,558.743,590.218,616.628,606.027,559.894,575.606,574.23,601.257,1
464.507,469.4,462.504,453.74,469.784,445.171,467.658,452.214,445.225,446.449,452.955,469.882,429.034,465.737,477.938,466.112,438.817,461.247,448.985,468.065,1
564.486,563.557,561.52,547.936,568.917,532.172,565.503,537.963,536.435,551.563,549.881,563.795,531.537,568.753,580.483,582.223,519.629,556.869,535.538,566.338,0
521.362,532.47,528.058,513.572,542.009,513.076,533.622,517.71,520.364,513.099,518.928,542.319,492.729,527.787,544.058,538.118,500.197,527.799,522.958,540.442,0
545.747,549.344,544.778,530.486,548.345,514.176,546.817,528.266,518.097,529.854,532.403,550.207,503.55,540.148,572.202,554.274,511.684,533.47,524.58,550.482,1
583.992,591.755,586.259,569.064,600.428,557.689,591.078,568.185,556.043,579.433,577.099,596.692,539.961,589.573,612.64,602.029,556.043,572.807,569.253,598.016,0
340.532,361.676,353.059,343.128,372.265,337.409,346.144,345.118,345.305,338.781,351.935,355.787,327.376,356.896,363.422,354.765,332.77,347.65,335.67,358.254,0
