f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
485.503,491.588,489.211,467.378,498.065,472.649,489.558,476.487,471.191,474.159,475.816,496.952,451.809,493.149,502.224,490.074,456.335,482.343,471.013,489.324,1
559.962,570.541,565.594,553.605,569.371,546.579,566.567,554.305,544.053,547.303,558.07,573.467,519.765,561.67,588.113,568.548,542.612,557.278,549.155,569.872,0
493.889,499.148,497.024,482.028,505.86,484.1,497.548,486.989,486.8,482.281,485.323,508.785,460.444,496.334,508.445,500.144,468.324,492.224,480.117,501.525,0
600.701,604.126,602.626,583.177,607.39,584.614,606.445,590.937,587.022,585.595,589.499,612.169,557.22,602.224,626.468,603.492,573.569,600.528,591.685,608.432,1
562.519,556.724,553.072,543.763,558.835,531.132,563.448,538.132,534.347,541.137,544.136,557.355,521.483,551.477,571.225,564.027,516.043,550.308,531.594,558.019,0
563.745,579.223,572.745,551.062,589.812,550.124,578.101,565.926,549.965,563.176,563.194,590.302,531.201,574.632,594.331,587.676,551.535,572.922,564.087,585.305,0
509.601,501.739,504.12,491.921,512.494,496.15,511.798,498.065,485.559,487.416,500.833,513.158,464.25,503.906,533.562,505.126,483.077,498.131,495.917,510.726,1
469.354,479.481,484.977,469.459,489.089,456.759,480.238,469.924,461.191,460.585,465.966,480.952,452.494,480.081,505.637,482.172,446.498,463.556,464.657,480.109,1
527.103,541.323,537.885,531.078,546.703,503.779,542.575,518.829,516.616,522.769,526.873,536.808,504.207,535.4,565.201,541.567,512.06,522.45,515.496,542.319,1
509.006,522.452,513.714,495.87,524.938,491.743,516.618,501.788,496.846,501.508,500.19,512.012,486.531,516.157,526.421,512.988,475.832,509.228,487.655,514.04,1
510.912,510.634,507.923,494.593,528.781,495.649,510.509,496.855,493.613,491.813,498.159,520.175,466.728,512.898,531.793,515.157,483.93,508.324,496.392,517.762,0
539.892,538.197,538.842,523.167,540.805,528.322,544.046,529.814,523.648,518.364,525.154,549.811,500.813,541.317,562.554,551.488,505.241,542.76,521.444,535.257,0
