f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
721.656,714.389,712.507,706.194,710.738,707.246,715.159,703.934,718.063,716.972,706.475,714.287,699.516,710.575,709.301,710.598,717.22,705.976,705.286,711.358,0
726.538,717.388,713.285,707.68,714.856,710.621,713.076,713.985,716.22,713.201,707.272,706.62,701.212,714.0,708.728,715.536,718.905,706.359,707.021,704.764,0
694.348,683.572,678.53,684.108,687.092,681.412,679.778,684.798,681.514,676.803,668.48,675.936,670.876,678.902,680.082,683.392,690.695,676.436,674.97,681.347,0
652.141,641.723,641.801,635.028,642.105,637.663,643.763,650.721,644.182,634.6,623.788,642.727,633.116,646.028,640.333,644.001,645.828,646.117,635.708,640.438,0
613.022,604.575,604.5,595.821,602.423,598.838,604.122,602.827,603.514,602.932,597.754,599.737,595.118,602.87,600.032,604.333,608.118,599.325,597.508,599.669,1
683.761,675.125,672.17,664.214,664.985,666.612,676.643,663.479,674.004,677.528,662.684,669.107,662.236,673.124,671.958,674.431,680.139,665.377,663.756,670.476,0
747.161,737.215,734.467,727.236,724.692,733.651,736.415,732.304,738.353,746.168,724.046,736.771,718.435,732.953,731.245,736.932,742.857,729.151,728.527,732.435,0
801.274,794.438,793.875,788.161,786.712,785.189,791.725,798.356,795.935,789.99,779.737,782.886,785.915,793.301,786.532,798.32,798.623,784.899,775.891,791.954,1
867.605,861.438,852.021,846.717,846.525,850.29,857.104,850.271,855.14,858.98,843.694,847.677,837.928,852.723,851.481,857.259,859.668,844.396,841.457,847.423,0
737.569,731.932,733.688,728.674,729.024,725.927,731.224,735.407,741.389,731.453,720.753,728.768,724.341,733.909,730.538,737.386,735.306,728.263,719.672,726.97,1
661.935,655.366,650.635,643.234,648.931,647.427,652.724,646.838,654.195,656.819,644.835,650.769,644.1,650.552,650.036,655.504,657.748,642.604,642.185,648.935,1
761.472,754.462,751.931,749.96,754.082,752.058,751.687,760.49,755.705,744.315,739.034,748.183,740.292,750.278,746.592,755.8,755.493,749.797,739.795,743.816,1
621.03,614.299,610.957,609.688,613.146,609.602,610.889,613.367,612.435,608.694,600.643,609.753,600.665,608.51,609.017,612.157,620.151,608.74,604.667,610.111,1
791.148,784.105,785.982,775.085,784.807,775.423,780.392,784.706,787.866,777.979,771.949,778.813,771.976,779.547,777.843,783.477,788.381,774.301,767.836,777.582,1
714.661,708.015,705.14,693.503,703.227,696.793,704.729,700.783,702.859,702.15,694.191,698.875,690.153,699.183,698.288,704.173,708.867,693.886,693.545,696.291,1
591.217,580.032,582.371,577.614,578.497,576.531,583.502,580.916,585.504,580.416,568.977,579.965,571.27,584.862,581.447,584.591,585.834,580.901,576.275,579.939,0
748.609,735.688,736.373,725.748,727.626,731.601,734.345,734.166,735.629,731.416,722.378,728.428,717.549,732.342,728.8,737.794,738.088,725.212,722.424,723.819,1
627.734,622.002,625.123,615.272,614.281,616.139,622.379,626.137,625.627,621.205,611.165,615.837,616.81,621.743,620.283,627.294,626.217,617.709,611.106,618.405,0
602.533,595.076,592.332,588.522,589.371,592.608,594.483,594.721,593.082,590.083,584.235,589.155,584.202,591.688,590.717,594.222,600.515,590.552,587.579,590.639,1
888.152,871.56,870.065,869.149,869.308,868.966,871.645,872.888,874.425,874.498,858.47,865.937,856.222,873.174,869.233,874.494,883.949,866.898,863.306,876.344,0
907.256,896.071,897.422,880.215,888.704,886.156,895.608,890.61,894.546,893.762,882.557,887.373,880.445,890.191,888.686,896.506,902.201,882.512,880.972,886.552,1
801.38,790.289,793.504,786.45,785.124,783.899,792.285,797.683,796.873,786.111,774.615,779.408,787.209,796.005,791.863,804.41,796.767,788.198,779.819,782.916,1
673.483,668.184,666.94,647.8,658.525,655.707,669.067,655.558,657.687,663.375,657.999,660.15,653.219,657.826,658.246,658.079,673.194,656.033,658.027,661.565,1
670.127,666.829,663.505,656.937,659.961,657.973,661.448,663.247,666.343,659.722,652.138,657.605,651.813,661.007,658.235,668.886,667.111,656.557,650.94,654.672,0
654.121,643.644,642.439,643.0,643.487,639.016,643.6,641.73,646.446,640.203,633.194,637.456,631.084,640.692,640.42,644.488,649.464,636.461,635.781,639.195,0
946.37,933.47,936.063,923.779,928.545,922.522,931.102,934.181,937.676,928.726,915.794,923.656,922.338,933.272,927.529,938.959,942.443,924.293,916.883,928.914,1
729.166,718.062,722.017,716.358,716.084,713.556,721.666,727.085,727.089,717.104,704.805,714.323,718.796,725.942,720.676,727.858,725.693,719.624,709.955,717.147,1
621.265,621.226,611.912,607.655,612.974,608.465,609.454,611.726,615.417,613.266,603.744,605.822,602.024,613.949,607.69,624.423,617.214,605.038,602.999,602.66,0
672.702,663.919,662.439,655.53,659.023,659.203,664.506,663.651,661.477,664.315,653.724,658.218,650.738,659.483,661.267,660.2,673.136,661.754,658.761,660.377,0
825.783,813.095,813.814,808.186,808.905,807.512,808.818,810.884,815.629,808.763,794.722,808.375,796.71,810.547,808.848,817.393,822.944,802.336,798.314,811.643,0
