f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
774.643,766.373,763.085,749.449,753.069,758.005,770.621,752.388,759.35,774.09,752.682,759.15,755.236,759.342,764.394,763.6,772.282,756.038,759.329,759.718,0
716.554,703.067,701.859,699.877,704.34,699.683,702.824,704.387,702.667,697.378,690.527,700.68,688.342,700.907,701.713,700.143,710.832,700.297,694.89,704.565,0
874.894,863.015,869.024,859.735,856.164,856.14,864.415,864.917,864.781,870.001,847.205,857.262,845.863,863.813,860.874,865.581,868.372,857.754,844.534,866.96,0
630.225,627.653,619.402,616.716,617.59,617.866,628.352,618.001,621.849,626.037,616.424,616.259,614.245,624.63,621.986,622.358,623.53,613.867,611.915,623.951,0
766.065,756.524,752.312,743.261,750.195,753.017,758.465,751.412,752.33,754.805,745.787,755.845,739.741,750.499,751.277,750.091,756.824,748.407,745.718,747.776,0
508.039,504.11,502.242,498.164,501.14,498.729,504.16,505.165,503.081,499.388,493.735,500.26,494.517,501.418,499.328,501.188,502.766,499.667,492.09,499.282,0
664.941,655.559,656.063,646.067,654.216,647.546,653.462,650.013,656.104,650.512,643.581,649.067,637.463,649.926,647.726,652.773,659.502,644.231,644.289,645.614,0
750.639,741.523,742.58,739.517,736.166,736.751,745.733,746.054,747.071,739.722,729.81,734.103,736.335,746.949,740.979,746.298,746.096,738.75,728.858,742.242,1
649.729,642.589,640.981,639.783,643.625,639.944,643.529,645.543,647.055,643.166,632.35,637.987,635.187,646.188,642.44,647.857,644.903,639.834,632.868,642.515,0
747.283,737.076,733.017,723.94,729.525,728.399,736.225,727.591,733.874,735.351,725.832,726.023,721.801,731.708,731.41,734.508,739.838,721.604,723.242,727.726,1
816.884,807.193,804.976,787.814,800.83,793.575,805.618,795.942,799.559,803.589,790.372,798.613,792.91,799.912,802.856,803.708,812.529,795.447,798.152,794.751,0
834.9,830.042,824.222,813.268,820.974,815.708,823.372,814.17,829.775,833.836,816.146,822.601,804.287,823.878,817.549,826.246,826.271,809.597,809.365,821.083,0
773.972,766.48,762.282,752.864,755.322,756.617,767.764,756.473,762.842,767.571,753.34,757.488,754.24,762.944,761.712,766.758,769.761,755.183,754.015,761.327,1
799.228,792.292,794.937,782.587,781.684,782.446,797.039,793.732,797.322,787.685,776.65,781.841,788.564,798.672,793.345,803.905,795.038,789.863,779.015,783.961,1
942.548,919.765,924.439,919.765,917.726,915.226,922.051,922.108,927.986,919.128,904.668,912.753,907.717,924.698,919.616,926.796,932.654,913.034,908.484,922.838,0
703.212,689.775,695.326,688.359,686.033,685.031,690.867,692.982,696.952,688.946,678.938,685.925,682.848,690.773,688.526,695.708,701.823,686.698,681.363,690.957,1
794.879,786.38,781.896,778.014,780.782,783.433,783.934,779.987,786.708,782.894,776.142,776.833,771.182,778.401,777.894,788.854,794.659,774.013,777.353,775.476,0
763.456,752.135,753.582,747.865,746.988,742.699,750.688,752.811,755.163,748.929,736.645,744.875,744.674,750.767,749.36,756.075,761.188,744.341,737.461,751.038,1
794.882,787.119,783.368,778.18,777.69,776.628,788.512,784.729,789.057,784.178,775.803,778.459,778.087,786.153,780.217,793.86,790.453,778.353,771.018,783.25,1
840.735,840.076,835.604,819.523,829.629,822.951,837.495,827.424,830.581,833.831,825.535,826.058,828.273,832.581,832.969,831.876,836.486,822.198,820.175,835.027,1
509.455,503.888,502.284,498.968,500.8,496.901,501.715,503.878,503.294,498.057,492.657,496.744,494.955,502.95,499.813,503.819,504.17,498.398,494.978,498.258,1
600.599,591.732,591.207,588.798,591.314,589.65,593.695,593.944,592.197,588.996,579.982,590.394,581.012,592.744,590.578,591.944,594.217,590.632,584.828,592.885,0
